19,DFEDTARU
16/12/2008,0.25
17/12/2008,0.25
18/12/2008,0.25
19/12/2008,0.25
20/12/2008,0.25
21/12/2008,0.25
22/12/2008,0.25
23/12/2008,0.25
24/12/2008,0.25
25/12/2008,0.25
26/12/2008,0.25
27/12/2008,0.25
28/12/2008,0.25
29/12/2008,0.25
30/12/2008,0.25
31/12/2008,0.25
01/01/2009,0.25
02/01/2009,0.25
03/01/2009,0.25
04/01/2009,0.25
05/01/2009,0.25
06/01/2009,0.25
07/01/2009,0.25
08/01/2009,0.25
09/01/2009,0.25
10/01/2009,0.25
11/01/2009,0.25
12/01/2009,0.25
13/01/2009,0.25
14/01/2009,0.25
15/01/2009,0.25
16/01/2009,0.25
17/01/2009,0.25
18/01/2009,0.25
19/01/2009,0.25
20/01/2009,0.25
21/01/2009,0.25
22/01/2009,0.25
23/01/2009,0.25
24/01/2009,0.25
25/01/2009,0.25
26/01/2009,0.25
27/01/2009,0.25
28/01/2009,0.25
29/01/2009,0.25
30/01/2009,0.25
31/01/2009,0.25
01/02/2009,0.25
02/02/2009,0.25
03/02/2009,0.25
04/02/2009,0.25
05/02/2009,0.25
06/02/2009,0.25
07/02/2009,0.25
08/02/2009,0.25
09/02/2009,0.25
10/02/2009,0.25
11/02/2009,0.25
12/02/2009,0.25
13/02/2009,0.25
14/02/2009,0.25
15/02/2009,0.25
16/02/2009,0.25
17/02/2009,0.25
18/02/2009,0.25
19/02/2009,0.25
20/02/2009,0.25
21/02/2009,0.25
22/02/2009,0.25
23/02/2009,0.25
24/02/2009,0.25
25/02/2009,0.25
26/02/2009,0.25
27/02/2009,0.25
28/02/2009,0.25
01/03/2009,0.25
02/03/2009,0.25
03/03/2009,0.25
04/03/2009,0.25
05/03/2009,0.25
06/03/2009,0.25
07/03/2009,0.25
08/03/2009,0.25
09/03/2009,0.25
10/03/2009,0.25
11/03/2009,0.25
12/03/2009,0.25
13/03/2009,0.25
14/03/2009,0.25
15/03/2009,0.25
16/03/2009,0.25
17/03/2009,0.25
18/03/2009,0.25
19/03/2009,0.25
20/03/2009,0.25
21/03/2009,0.25
22/03/2009,0.25
23/03/2009,0.25
24/03/2009,0.25
25/03/2009,0.25
26/03/2009,0.25
27/03/2009,0.25
28/03/2009,0.25
29/03/2009,0.25
30/03/2009,0.25
31/03/2009,0.25
01/04/2009,0.25
02/04/2009,0.25
03/04/2009,0.25
04/04/2009,0.25
05/04/2009,0.25
06/04/2009,0.25
07/04/2009,0.25
08/04/2009,0.25
09/04/2009,0.25
10/04/2009,0.25
11/04/2009,0.25
12/04/2009,0.25
13/04/2009,0.25
14/04/2009,0.25
15/04/2009,0.25
16/04/2009,0.25
17/04/2009,0.25
18/04/2009,0.25
19/04/2009,0.25
20/04/2009,0.25
21/04/2009,0.25
22/04/2009,0.25
23/04/2009,0.25
24/04/2009,0.25
25/04/2009,0.25
26/04/2009,0.25
27/04/2009,0.25
28/04/2009,0.25
29/04/2009,0.25
30/04/2009,0.25
01/05/2009,0.25
02/05/2009,0.25
03/05/2009,0.25
04/05/2009,0.25
05/05/2009,0.25
06/05/2009,0.25
07/05/2009,0.25
08/05/2009,0.25
09/05/2009,0.25
10/05/2009,0.25
11/05/2009,0.25
