Ticker,% of Net Assets
0700.HK,10.4
3690.HK,7.4
BABA,7.12
BIDU,6.4
BZ,4.97
JD,4.72
BEKE,3.99
TCOM,3.95
PDD,3.89
1024.HK,3.69
9988.HK,3.67
6618.HK,3.22
YMM,3.08
NTES,2.76
9618.HK,2.44
BILI,1.91
3888.HK,1.7
TME,1.58
9999.HK,1.52
0241.HK,1.48
LU,1.42
VIPS,1.39
0772.HK,1.12
0909.HK,0.96
ZH,0.96
9626.HK,0.96
YY,0.94
6060.HK,0.89
0780.HK,0.88
ATHM,0.88
WB,0.81
QFIN,0.79
1833.HK,0.69
2013.HK,0.69
TAL,0.64
KC,0.6
IQ,0.59
JOBS,0.55
2158.HK,0.54
MOMO,0.53
1060.HK,0.48
API,0.47
2400.HK,0.47
VNET,0.41
DADA,0.37
CD,0.35
DAO,0.34
9923.HK,0.32
BZUN,0.3
HUYA,0.23
DOYU,0.14
OCFT,0.13
GOTU,0.04
