,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,1w_chg_pct,1m_chg_pct,1y_chg_pct,max_drawdown,ticker,fax,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,weight,ratecode,ratecode2,USD-USD,CNY-USD,TWD-USD,HKD-USD,EUR-USD,rate,rate2
0,518054,Communication Services,112771.0,"Tencent Holdings Limited, an investment holding company, provides value-added services (VAS) and Online advertising services in Mainland China and internationally. The company operates through VAS, Online Advertising, FinTech and Business Services, and Others segments. It offers online games and social network services; FinTech and cloud services, and online advertising services. The company is also involved in the production, investment, and distribution of films and television programs for third parties, as well as copyrights licensing, merchandise sales, and other activities. n addition, it develops software; develops and operates online games; and provides information technology, information system integration, asset management, online literature, and online music entertainment services. Tencent Holdings Limited company was founded in 1998 and is headquartered in Shenzhen, the People's Republic of China.",Shenzhen,86 75 5860 13388,China,[],https://www.tencent.com,1.0,Tencent Binhai Towers,Internet Content & Information,No. 33 Haitian 2nd Road Nanshan District,0.31313,0.40138,0.43907002,175186001920.0,0.079,0.22111,175388000256.0,277.42,buy,245944000000.0,94337499136.0,515.21,377.4,0.603,1.203,0.052550003,49.0,513.64,36.938,0.27534,813.44,264101003264.0,323833987072.0,560117972992.0,27.688,CNY,58.787,0.823,1.8,HKG,TENCENT,Tencent Holdings Limited,Asia/Hong_Kong,HKT,0.0,28800000,EQUITY,0700.HK,finmb_11042136,hk_market,,6.659,,21.267,-0.39567655,,19.53,,9601160192.0,,,,84.531,,,,1640908800.0,0.23622999,224822001664.0,11.01408,1.6,-0.014484823,4.4646344,0.37527,1703980800.0,,1640908800.0,,,6025550692.0,0.51256,3729947885568.0,3.0,,1400112000.0,5:1,,1653004800.0,,0.601,6.47643,,1.0,,19.324116,,,,0.0,,,339.8,339.0,450.88116,0.0038346087,0.056700002,,388.0,,24271060.0,339.8,384.964,1.303,339.0,,24271060.0,,,1.6,1653004800.0,,,337.4,HKD,34.265232,47467097.0,,,,3627564924928.0,,,29565669.0,337.4,377.4,0.0,47467097.0,640.0,,0.25,297.0,377.2,0.0,0.0042,0.0,388.0,377.4,,https://logo.clearbit.com/tencent.com,10.80445893526627,-0.8407809132196631,-39.257006324782175,-39.95226827422683,0700.HK,,,,,,0.10400000000000001,CNY-USD,HKD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,0.1274341493844986
1,100102,Consumer Cyclical,100033.0,"Meituan operates an e-commerce platform for various services. It operates through Food Delivery; In-store, Hotel & Travel; and New Initiatives and Others segments. The Food delivery segment provides consumers place orders of food prepared by merchants. The In-store, Hotel & Travel segment offers consumers purchase local consumer services provided by merchants in numerous in-store categories or make reservations for hotels and attractions. The New Initiatives and Others segment sales goods from B2B food distribution services and Meituan grocery; and various businesses, such as Meituan Instashopping, community e-commerce, bike-sharing and electric mopeds, and micro-credit services. The company was formerly known as Meituan Dianping and changed its name to Meituan in October 2020. Meituan was founded in 2003 and is headquartered in Beijing, China.",Beijing,86 10 5737 6600,China,[],https://about.meituan.com,1.0,Hengjiweiye Building,Internet Retail,Block B&C No. 4 Wang jing East Road Chaoyang District,-0.08878,-0.1314,0.23712,-4011457024.0,0.304,-0.12542,-15903010816.0,138.16,buy,42474128000.0,-1817442816.0,233.58,172.0,,2.155,-0.068959996,39.0,242.34,46.926,-0.21090999,404.14,116795441152.0,58919030784.0,179127992320.0,19.035,CNY,29.668,1.783,1.7,HKG,MEITUAN-W,Meituan,Asia/Hong_Kong,HKT,False,28800000,EQUITY,3690.HK,finmb_114128173,hk_market,,5.568,,-62.721,-0.41336972,,2.2,,5503479808.0,,,,20.472,,,,1640908800.0,0.37017,-23538378752.0,,,-0.014484823,8.401719,0.20161,1703980800.0,,1640908800.0,,,4382659438.0,1.060643,997449269248.0,3.0,,,,,,,,5.935742,,-0.99,,78.181816,,,,0.0,,,148.9,150.4,221.797,0.0,0.0,,177.8,,38909156.0,148.9,156.806,0.0,150.4,,38909156.0,,,,,,,145.5,HKD,,88434684.0,,,,1063257505792.0,,,41127308.0,145.5,172.0,0.0,88434684.0,338.0,,,103.5,171.6,False,,0.0,177.8,172.0,,https://logo.clearbit.com/about.meituan.com,21.64074075273099,7.432850370280564,-42.28187919463087,-47.878787878787875,3690.HK,,,,,,0.07400000000000001,CNY-USD,HKD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,0.1274341493844986
2,311121,Consumer Cyclical,259316.0,"Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to merchants, brands, retailers, and other businesses to engage with their users and customers in the People's Republic of China and internationally. It operates through four segments: Core Commerce, Cloud Computing, Digital Media and Entertainment, and Innovation Initiatives and Others. The company operates Taobao Marketplace, a social commerce platform; Tmall, a third-party online and mobile commerce platform for brands and retailers; Alimama, a monetization platform; 1688.com and Alibaba.com, which are online wholesale marketplaces; AliExpress, a retail marketplace; Lazada, Trendyol, and Daraz that are e-commerce platforms; and Tmall Global and Kaola, which are import e-commerce platforms. It also operates Lingshoutong that connects FMCG manufacturers and their distributors to small retailers; Cainiao Network logistic services platform; Ele.me, an on-demand delivery and local services platform; Koubei, a restaurant and local services guide platform; and Fliggy, an online travel platform. In addition, the company offers pay-for-performance, in-feed, and display marketing services; and Taobao Ad Network and Exchange, a real-time online bidding marketing exchange. Further, it provides elastic computing, database, storage, virtualization network, large-scale computing, security, management and application, big data analytics, machine learning platform, and Internet of Things services. Additionally, the company operates Youku, an online video platform; Alibaba Pictures and other content platforms that provide online videos, films, live events, news feeds, literature, music, and others; Amap, a mobile digital map, navigation, and real-time traffic information app; DingTalk, a business efficiency app; and Tmall Genie, an AI-enabled smart speaker. The company was incorporated in 1999 and is based in Hangzhou, the People's Republic of China.",Hangzhou,86 571 8502 2088,China,[],https://www.alibabagroup.com,1.0,969 West Wen Yi Road,Internet Retail,Yu Hang District,0.16539,0.078590006,0.37319002,173982007296.0,0.097,0.107980005,138331996160.0,99.08,buy,297772000000.0,110624874496.0,163.48,97.09,-0.739,1.645,0.033239998,47.0,174.79,15.509,0.05293,312.09,494932983808.0,172077006848.0,836404969472.0,184.161,CNY,309.486,1.206,2.0,NYQ,Alibaba Group Holding Limited,Alibaba Group Holding Limited,America/New_York,EDT,False,-14400000,EQUITY,BABA,finmb_42083601,us_market,,0.088,,0.53,-0.5791687,,8.12,,2687500032.0,,,,362.53,37802329,0.014099999,,1617148800.0,0.18924,65457999872.0,3.608,,-0.014484823,0.2678123,0.00021,1680220800.0,,1640908800.0,0.75,1647302400,1888371875.0,0.887254,73320374272.0,2.0,,,,,,,-0.742,0.33445936,1649894400,405.32,,11.956896,,,44934271,0.0,,,90.91,101.53,139.74155,0.0,0.0,,103.52,,25255200.0,90.91,102.3314,0.0,101.53,,25255200.0,,,,,,,96.66,USD,26.909643,44601566.0,,,,279743463424.0,,,33581036.0,96.66,97.8,800.0,44601566.0,236.17,,,73.28,97.51,False,,1200.0,103.52,97.09,,https://logo.clearbit.com/alibabagroup.com,12.255750648551489,-16.718137919922636,-57.96059856209944,-57.96059856209944,BABA,86 571 8526 9066,,,,,0.0712,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
3,100085,Communication Services,45500.0,"Baidu, Inc. offers internet search services in China. It operates through Baidu Core and iQIYI segments. The company offers Baidu App to access search, feed, and other services using mobile devices; Baidu Search to access its search and other services; Baidu Feed that provides users with personalized timeline based on their demographics and interests; and Haokan, a short video app. It also provides Baidu Knows, an online community where users can ask questions to other users; Baidu Wiki; Baidu Healthcare Wiki; Baidu Wenku; Baidu Scholar; Baidu Experience; Baidu Post; Baidu Maps, a voice-enabled mobile app that provides travel-related services; Baidu Drive; Baijiahao; and DuerOS, a smart assistant platform. In addition, it offers online marketing services, which include pay for performance, an auction-based services that allow customers to bid for priority placement of paid sponsored links and reach users who search for information related to their products or services; other marketing services that include display-based marketing services and other online marketing services based on performance criteria other than cost per click; mobile ecosystem, a portfolio of apps, including Baidu App, Haokan, and Baidu Post; various cloud services and solutions, such as platform as a service, software as a service, and infrastructure as a service; self-driving services, including maps, automated valet parking, autonomous navigation pilot, electric vehicles, and robotaxi fleets, as well as Xiaodu smart devices. Further, the company provides iQIYI, AN online entertainment service, including original and licensed content; other video content and membership; and online advertising services. Baidu, Inc. has strategic partnership with Zhejiang Geely Holding Group. The company was formerly known as Baidu.com, Inc. Baidu, Inc. was incorporated in 2000 and is headquartered in Beijing, China.",Beijing,86 10 5992 8888,China,[],https://www.baidu.com,1.0,Baidu Campus,Internet Content & Information,No. 10 Shangdi 10th Street Haidian District,0.21537,0.08214,0.48473,20121999360.0,0.093,0.08583,26812000256.0,149.76,buy,60346000000.0,16442999808.0,218.45,124.17,-0.729,2.864,0.01874,39.0,226.55,40.86,0.036510002,356.53,180467007488.0,91506999296.0,124492996608.0,522.273,CNY,361.111,2.622,1.9,NMS,"Baidu, Inc.","Baidu, Inc.",America/New_York,EDT,False,-14400000,EQUITY,BIDU,finmb_428613,us_market,,-0.27,,-1.252,-0.39411533,,10.17,,345551008.0,,,,611.964,5277664,0.0153,,1640908800.0,0.54504,9875999744.0,4.237,,-0.014484823,0.20290409,0.01352,1703980800.0,,1640908800.0,0.88,1647302400,273862450.0,0.922058,-33561100288.0,2.0,,1273622400,10:1,,,,-0.669,0.36956966,1649894400,203.8,,12.209439,,,7057910,0.0,,,120.55,130.69,152.8786,0.0,0.0,,136.52,,3475790.0,120.55,138.9344,0.0,130.69,,3475790.0,,,,,,,123.83,USD,29.306112,5515817.0,,,,46008836096.0,,,4385924.0,123.83,125.0,2200.0,5515817.0,212.71,,,102.18,124.49,False,,1800.0,136.52,124.17,,https://logo.clearbit.com/baidu.com,8.379155537830375,-13.668917063077268,-40.96420050018183,-40.96420050018183,BIDU,86 10 5992 0000,,,,,0.064,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
4,100020,Industrials,4840.0,"Kanzhun Limited operates an online recruitment platform, BOSS Zhipin in the People's Republic of China. Its recruitment platform assists the recruitment process between job seekers and employers for enterprises, and corporations. The company was founded in 2013 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 8462 8340,China,[],https://ir.zhipin.com,1.0,GrandyVic Building,Staffing & Employment Services,18th Floor Taiyanggong Middle Road Chaoyang District,0.12918,-0.25148,0.86977,1641380992.0,0.691,0.110369995,550179968.0,31.21,buy,3704480000.0,1143340032.0,36.87,23.53,,4.654,0.03138,8.0,36.28,2.913,-0.15344,41.09,12290568192.0,310896000.0,4259128064.0,28.258,CNY,16.092,4.439,1.7,NMS,KANZHUN LIMITED - American Depo,Kanzhun Limited,America/New_York,EDT,False,-14400000,EQUITY,BZ,finmb_715953746,us_market,,-0.41,,-3.172,-0.36747313,,0.9,,408979008.0,,,,24.575,12498376,0.0306,,1640908800.0,0.34780997,-1235138944.0,-0.704,,-0.014484823,0.9574771,0.10832,1703980800.0,,1640908800.0,2.49,1647302400,165448650.0,,-1745421056.0,2.0,,,,,,,,2.4028995,1649894400,,,26.144445,,,15529439,0.0,,,20.85,23.44,32.176224,0.0,0.0,,24.99,,2098210.0,20.85,25.2555,0.0,23.44,,2098210.0,,,,,,,23.32,USD,,3127003.0,,,,10234256384.0,,,3896940.0,23.32,24.3,3100.0,3127003.0,44.96,,,13.46,23.42,False,,4000.0,24.99,23.53,,https://logo.clearbit.com/ir.zhipin.com,18.718471488120734,-13.301395667605775,-36.74731127939304,-44.042803534922626,BZ,,,,,,0.049699999999999994,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
5,101111,Consumer Cyclical,385357.0,"JD.com, Inc. provides supply chain-based technologies and services in the People's Republic of China. The company offers computers, communication, and consumer electronics products, as well as home appliances; and general merchandise products comprising food, beverage and fresh produce, baby and maternity products, furniture and household goods, cosmetics and other personal care items, pharmaceutical and healthcare products, books, automobile accessories, apparel and footwear, bags, and jewelry. It also provides online marketplace services for third-party merchants; marketing services; and omni-channel solutions to customers and offline retailers, as well as online healthcare services. In addition, the company develops, owns, and manages its logistics facilities and other real estate properties to support third parties; and provides asset management services for logistics property investors. Further, it provides integrated data, technology, business, and user management industry solutions to support the digitization of enterprises and institutions. The company was formerly known as 360buy Jingdong Inc. and changed its name to JD.com, Inc. in January 2014. JD.com, Inc. was incorporated in 2006 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 8911 8888,China,[],https://www.jd.com,1.0,"Building A, 20th Floor",Internet Retail,No. 18 Kechuang 11 Street Yizhuang Eco & Tech Dev Zn Daxing District,0.010089999,-0.00374,0.07357,42301001728.0,0.23,0.0035499998,9605999616.0,48.99,buy,70011485000.0,12006625280.0,90.06,61.66,,1.352,0.00459,39.0,89.65,13.834,-0.01907,118.76,185331007488.0,34140000256.0,951592026112.0,119.154,CNY,612.461,0.915,1.9,NMS,"JD.com, Inc.","JD.com, Inc.",America/New_York,EDT,False,-14400000,EQUITY,JD,finmb_36273923,us_market,,-0.018,,-1.813,-0.19942874,,2.9,,1559420032.0,,,,134.314,32864863,0.0211,,1640908800.0,0.27934998,-3560000000.0,-0.346,,-0.014484823,0.45907354,0.05722,1703980800.0,,1640908800.0,1.65,1647302400,1154228134.0,0.65,-17412292608.0,2.0,,,,,,,,0.12633018,1649894400,49.72,,21.262068,,,44403481,428185984.0,,,57.81,65.08,71.94318,0.0,0.0,,65.19,,11185870.0,57.81,60.6862,0.0,65.08,,11185870.0,,,,,,,61.56,USD,,19762702.0,,,,120214798336.0,,,14571172.0,61.56,62.05,2200.0,19762702.0,92.69,,,41.56,61.94,False,,4000.0,65.19,61.66,,https://logo.clearbit.com/jd.com,18.485777791395886,0.27646473297275875,-20.294726782665805,-32.648828190041,JD,,,,,,0.0472,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
6,100086,Real Estate,110082.0,"KE Holdings Inc., through its subsidiaries, engages in operating an integrated online and offline platform for housing transactions and services in the People's Republic of China. The company operates in three segments: Existing Home Transaction Services, New Home Transaction Services, and Emerging and Other Services. It facilitates various housing transactions ranging from existing and new home sales, home rentals, home renovation and furnishing, and other services. The company also owns and operates Lianjia, a real estate brokerage branded store; and owns Deyou, a franchise model for connected brokerage stores. The company was founded in 2001 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 5810 4689,China,[],https://ke.com,1.0,Oriental Electronic Technology Building,Real Estate Services,No. 2 Chuangye Road Haidian District,0.00944,-0.00649,0.19590001,3595121920.0,-0.215,-0.00753,762601984.0,12.91,buy,15819415000.0,8132653056.0,23.48,14.18,,2.417,-0.0037099998,17.0,23.97,11.2,-0.00784,38.42,49848766464.0,7509928960.0,80752435200.0,41.642,CNY,68.258,2.08,2.1,NYQ,KE Holdings Inc,KE Holdings Inc.,America/New_York,EDT,False,-14400000,EQUITY,BEKE,finmb_665898843,us_market,,-0.313,,-33.153,-0.725247,,0.69,,1497730048.0,,,,55.948,16650661,0.0139,,1640908800.0,0.4806,-524128992.0,-0.068,,-0.014484823,0.25344962,0.0089300005,1703980800.0,,1640908800.0,0.56,1647302400,453965174.0,,-25282854912.0,2.0,,,,,,,,0.26299906,1649894400,83.87,,20.550726,,,22913066,0.0,,,13.31,14.92,19.21735,0.0,0.0,,15.31,,14444050.0,13.31,14.474,0.0,14.92,,14444050.0,,,,,,,14.14,USD,,25662461.0,,,,21237813248.0,,,19505701.0,14.14,14.26,2900.0,25662461.0,54.49,,,7.31,14.2,False,,900.0,15.31,14.18,,https://logo.clearbit.com/ke.com,16.996703292639292,8.161713779706758,-72.75696347161642,-73.79412281421585,BEKE,,,,,,0.039900000000000005,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
7,200335,Consumer Cyclical,33732.0,"Trip.com Group Limited operates as a travel service provider for accommodation reservation, transportation ticketing, packaged tours and in-destination, corporate travel management, and other travel-related services in China and internationally. The company acts as an agent for hotel-related transactions and selling air tickets, as well as provides train, long-distance bus, and ferry tickets; travel insurance products, such as flight delay, air accident, and baggage loss coverage; and air-ticket delivery, online check-in and seat selection, express security screening, real-time flight status tracker, and airport VIP lounge services. It also provides independent leisure travelers bundled packaged-tour products comprising group, semi-group, and customized and packaged tours with various transportation arrangements, such as air, cruise, bus, and car rental services. In addition, the company offers integrated transportation and accommodation services; destination transportation and ticket, activity, insurance, visa, and tour guide services; user support, supplier management, and customer relationship management services; and in-destination products and services. Further, it provides its corporate clients with business visit, incentive trip, meeting and conference, travel data collection and analysis, industry benchmark, cost saving analysis, and travel management solutions; and Corporate Travel Management System, an online platform that integrates information management, online booking and authorization, online enquiry, and travel reporting systems. Additionally, the company offers online advertising and financial services. It operates under the Ctrip, Qunar, Trip.com, and Skyscanner brands. The company was formerly known as Ctrip.com International, Ltd. and changed its name to Trip.com Group Limited in October 2019. Trip.com Group Limited was founded in 1999 and is headquartered in Shanghai, the People's Republic of China.",Shanghai,86 21 3406 4880,China,[],https://group.trip.com,1.0,968 Jin Zhong Road,Travel Services,,-0.01963,-0.02747,0.77036005,2475000064.0,-0.057,-0.07047,-393000000.0,,buy,15425000000.0,728000000.0,,23.65,,0.998,-0.00465,,,46.826,-0.0060799997,,49384001536.0,51721998336.0,20022999040.0,76.952,CNY,31.577,0.906,2.0,NMS,Trip.com Group Limited,Trip.com Group Limited,America/New_York,EDT,False,-14400000,EQUITY,TCOM,finmb_691187,us_market,,0.914,,-46.551,-0.3866701,,1.23,,641753984.0,,,,171.015,13260122,0.0208,,1640908800.0,0.65449995,-550000000.0,-0.131,0.0305,-0.014484823,0.13829195,0.0,1703980800.0,,1640908800.0,1.75,1647302400,518582459.0,1.020098,18294491136.0,2.0,,1449014400,2:1,,1213056000,,,0.7646133,1649894400,,,19.227642,,,14825417,0.0,,,22.29,23.8,26.68185,0.0,0.0,,24.98,,3866510.0,22.29,23.5066,0.0,23.8,,3866510.0,,,,1213056000,,,23.58,USD,,6170740.0,,,,15309850624.0,,,6792301.0,23.58,24.53,4000.0,6170740.0,42.04,,,14.29,23.76,False,,3100.0,24.98,23.65,,https://logo.clearbit.com/group.trip.com,8.386800867555188,-2.7149315586647793,-39.483115377602296,-43.48864879133797,TCOM,86 21 5251 0000,,,,,0.0395,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
8,200051,Consumer Cyclical,7986.0,"Pinduoduo Inc., through its subsidiaries, operates an e-commerce platform in the People's Republic of China. It operates Pinduoduo, a mobile platform that offers a range of products, including apparel, shoes, bags, mother and childcare products, food and beverage, fresh produce, electronic appliances, furniture and household goods, cosmetics and other personal care items, sports and fitness items, and auto accessories. The company was formerly known as Walnut Street Group Holding Limited and changed its name to Pinduoduo Inc. in July 2018. Pinduoduo Inc. was incorporated in 2015 and is headquartered in Shanghai, the People's Republic of China.",Shanghai,86 21 5266 1300,China,[],https://www.pinduoduo.com,1.0,No. 533 Loushanguan Road,Internet Retail,28th Floor Changning District,-0.01497,-0.00244,0.6062,27329804288.0,0.513,-0.02207,-1396184960.0,70.9,buy,40213224000.0,12190976000.0,99.86,43.09,,1.82,-0.0096700005,35,106.79,18.296,-0.00471,155.78,97917829120.0,12461133824.0,93266788352.0,78.004,CNY,75.086,1.188,1.9,NMS,Pinduoduo Inc.,Pinduoduo Inc.,America/New_York,EDT,False,-14400000,EQUITY,PDD,finmb_572577901,us_market,,-0.246,,16.415,,,1.35,,1253289984.0,,,,54.257,25663531,0.020499999,,1609372800.0,0.22479999,-227232000.0,-0.035,,,0.79418325,0.0016,1672444800.0,,1632960000.0,2.54,1636934400,523042101.0,1.433159,-22918096896.0,2.0,,,,,,,,0.57903,1639526400,-11.39,,31.918518,,,22719056,,,,37.95,44.74,70.7131,,0.0,,45.7,,14858160.0,37.95,42.8018,,44.74,,14858160.0,,,,,,,42.8,USD,,27820555.0,,,,54004264960.0,,,18136650.0,42.8,43.32,1000.0,27820555.0,143.11,,,23.21,43.3,False,,1100.0,45.7,43.09,,https://logo.clearbit.com/pinduoduo.com,24.071410079302424,-1.5310744850180247,-67.82647464418183,-69.19942671014604,PDD,,,,,feece1ce-41c4-3db9-b5ba-eb6db2cd7cd7,0.038900000000000004,CNY-USD,USD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,1.0
9,100085,Communication Services,21499.0,"Kuaishou Technology, an investment holding company, provides live streaming, online marketing, and other services. It offers Kuaishou Flagship, a short video and content based social networking platform; Kuaishou Express; Kuaishou Concept; Yitian Camera, an app to create photographs, videos, and vlogs; Kmovie, a shooting, editing, and production tool; AcFun, a video sharing website; and Kuaikandian, an information content aggregator. The company also develops and sells in-house mobile games, as well as games developed by third party game developers; and provides online knowledge content through its platform. In addition, it develops software, hardware, and network technology; and offers programming and advertising, internet information, and multimedia information services, as well as provides technology development, promotion, and other services. Kuaishou Technology was founded in 2011 and is headquartered in Beijing, China.",Beijing,86 10 6508 0677,China,[],https://www.kuaishou.com,1.0,Building 1,Broadcasting,"No. 6, Shangdi West Road Haidian District",-0.25791,-1.2192,0.43324003,-2693061888.0,0.334,-0.3109,-19278852096.0,95.2,buy,23814637000.0,1697870208.0,140.3,66.75,,1.667,-0.20353001,21,143.48,23.92,,307.66,48414195712.0,11970795520.0,74749911040.0,11.698,CNY,24.815,1.584,1.7,HKG,KUAISHOU-W,Kuaishou Technology,Asia/Hong_Kong,HKT,False,28800000,EQUITY,1024.HK,finmb_553739886,hk_market,,3.557,,-13.791,,,-3.97,,3393920000.0,,,,12.091,,,,1609372800.0,0.37629002,-91135377408.0,,,,5.520635,0.28562,1672444800.0,,1632960000.0,,,977322361.0,,265883156480.0,3.0,,,,,,,,3.7149212,,,,-16.813602,,,,,,,61.25,60.3,86.985,,0.0,,67.95,,26790961.0,61.25,74.109,,60.3,,26790961.0,,,,,,,59.1,HKD,,45593460.0,,,,277690023936.0,,,30715310.0,59.1,66.8,,45593460.0,264.4,,,54.6,66.75,False,,,67.95,66.75,,https://logo.clearbit.com/kuaishou.com,12.563239222241762,-9.307063337140775,-74.61977186311788,-74.61977186311788,1024.HK,,,,,80eca14d-5947-3a05-9d42-6b592114014b,0.0369,CNY-USD,HKD-USD,1,0.15133172273635864,0.033933963626623154,0.1274341493844986,1.0528532266616821,0.15133172273635864,0.1274341493844986
