,ticker,weight,market_cap,revenue,revenue_growth,cashflow,net_income,gross_profit
0,0700.HK,0.10400000000000001,544400873856.16406,86234597120.03906,0.135,27113267928.703125,29681010497.53125,34773820240.97443
1,3690.HK,0.07400000000000001,159814346119.68164,26125898879.285156,0.381,-150774946.4670868,-3207752095.621582,5203778777.920604
2,BABA,0.0712,343282515968.0,127862957693.55469,0.294,30882587745.75,19527716426.575195,46721790062.42752
3,BIDU,0.064,52469895168.0,19090266502.69629,0.131,3363249764.452881,2132176343.4067383,8327082870.125771
4,BZ,0.049699999999999994,14371522560.0,598373026.663147,1.053,244588821.3965149,-327593381.7733154,267388623.1455803
5,JD,0.0472,104452603904.0,141216185643.91406,0.255,6439762191.338379,4068608717.5195312,9478311216.612339
6,BEKE,0.039900000000000005,22543736832.0,13436894753.496094,-0.119,536679733.13049316,188070838.3458252,2645388751.2477636
7,TCOM,0.0395,16232462336.0,3186104345.0266113,-0.022,,202093096.73309326,2241381899.71447
8,PDD,0.038900000000000004,65334009856.0,14633986087.271484,0.513,4288171414.3410645,-35653741.11557007,6309638950.140953
9,1024.HK,0.0369,37730483675.01807,11728603262.885742,0.334,-422553739.62716675,-14299557952.113281,3736625573.6836195
10,9988.HK,0.036699999999999997,356688493960.39453,127862957693.55469,0.294,30882587745.75,19527716426.575195,46721790062.42752
11,6618.HK,0.0322,23322219876.0708,3803823440.072754,0.554,827467327.6550903,-1934751923.5697021,771546568.6175823
12,YMM,0.0308,8762809344.0,639856247.338623,0.689,,-901808104.2550049,43420831.54606819
13,NTES,0.0276,66723647488.0,13022170035.164062,0.189,3886899297.8898926,1904568885.2607422,6116674247.958899
14,9618.HK,0.024399999999999998,107438052939.51953,141216185643.91406,0.255,6439762191.338379,4068608717.5195312,9478311216.612339
15,BILI,0.0191,14937513984.0,2736891106.6757812,0.614,,-867527491.5889893,445636617.31910706
16,3888.HK,0.017,5819124202.930664,965717201.7306519,0.081,372195694.7514038,149215621.23742676,733836749.9091625
17,TME,0.0158,11394966528.0,5016553134.328125,0.03,985517645.6883545,578977873.5071411,1459526386.499405
18,9999.HK,0.0152,66445416598.19287,13022170035.164062,0.189,3886899297.8898926,1904568885.2607422,6116674247.958899
19,0241.HK,0.0148,10825222172.447266,2779431457.5117188,0.307,163295459.83918762,-26142499.393701553,565304287.2183323
20,LU,0.014199999999999999,12951698432.0,9942018426.253418,0.218,508205945.5137634,2633600355.8928223,7742231567.458749
21,VIPS,0.0139,5616964096.0,18625036043.32617,0.075,,895472633.7903442,3339762273.7870216
22,0772.HK,0.011200000000000002,6301815473.309692,1507482872.4953613,0.332,156801488.1353302,-16514677.570223808,664345908.8845253
23,0909.HK,0.0096,4355650361.754547,315105022.5426178,0.168,58851613.54526138,-95581559.39705658,212023116.7742014
24,ZH,0.0096,2740144640.0,385971284.07888794,1.151,,-211195751.401886,118901818.65298748
25,9626.HK,0.0096,14537860437.627563,2736891106.6757812,0.614,,-867527491.5889893,445636617.31910706
26,YY,0.009399999999999999,3795770112.0,2658517504.0,-0.333,,-316405600.0,3731434000.0
27,6060.HK,0.0089,5369860966.183472,3065379582.6240234,0.138,486878691.97595215,128448363.904953,1284781130.1298141
28,0780.HK,0.0088,3951239886.425354,1177415409.2909546,0.013,297002160.59747314,121275158.55821228,664645439.7243261
29,ATHM,0.0088,4085595904.0,1259391639.656433,-0.238,,489098070.8328552,1222968728.448987
30,WB,0.008100000000000001,7854139904.0,2154205952.0,0.304,885502976.0,341628000.0,1387751000.0
31,QFIN,0.0079,3244214272.0,2440033469.0024414,0.246,939112853.083374,888703273.2127075,1625061971.7464447
32,1833.HK,0.0069,3934177485.9025574,1245461124.003662,0.39,-166367174.4906006,-253314744.40731812,292535092.2768116
33,2013.HK,0.0069,2345142953.84256,375761811.9630432,0.445,-63256394.51408386,-183682390.51597595,158256938.76850605
34,TAL,0.0064,2257083648.0,4495754752.0,0.589,954732032.0,-115990000.0,2447194000.0
35,KC,0.006,3074029568.0,1306042338.137329,0.396,-160845549.24456024,-190795645.7614746,56012267.04275608
36,IQ,0.0059,3346568192.0,4805042911.004883,0.056,-1000412424.0750732,-934452129.3665771,412389478.62410545
37,JOBS,0.0055000000000000005,3083228928.0,665016812.7771606,0.193,,98469547.57404327,388116967.99349785
38,2158.HK,0.0054,2544033295.595398,166287311.31552887,0.809,,-462623905.286499,51360517.01259613
39,MOMO,0.0053,1865476480.0,2305978053.4676514,-0.002,303261714.3510132,310743245.9805908,1105770422.8016138
40,1060.HK,0.0048,2717783040.3969116,516276936.26275635,0.466,-28038848.1259346,1967426.5061616898,221481324.7486353
41,API,0.004699999999999999,1669701120.0,160848928.0,0.46,-23082716.0,-57363456.0,86364070.0
42,2400.HK,0.004699999999999999,2135832605.0618286,437101470.1916199,-0.043,-50043929.44160843,-81990173.53391647,240382207.1442604
43,VNET,0.0040999999999999995,1219274624.0,908905553.5609131,0.253,158122469.03450775,-80148113.78574371,168831052.1031618
44,DADA,0.0037,2589627136.0,990559961.3393555,0.296,,-360205353.16241455,159835241.9207096
45,CD,0.0034999999999999996,1976987520.0,411644950.082428,0.585,154721882.38716888,27400874.11093712,114976693.72451305
46,DAO,0.0034000000000000002,1492732672.0,804506579.4658813,0.548,,-223870829.5911255,228184131.4251423
