,CPI,SP500,USGDP,10YYield,CPIYOY,SP500YOY,USGDPYOY,CPIShifted,CPIShiftedYOY,USGDPShifted,USGDPShiftedYOY,Rate
1950-01-31,23.51,17.049999237060547,2186.365,,,,,,,,,
1950-02-28,23.61,17.219999313354492,,,,,,23.51,,2186.365,,
1950-03-31,23.64,17.290000915527344,,,,,,23.61,,,,
1950-04-30,23.65,17.959999084472656,2253.045,,,,,23.64,,,,
1950-05-31,23.77,18.780000686645508,,,,,,23.65,,2253.045,,
1950-06-30,23.88,17.690000534057617,,,,,,23.77,,,,
1950-07-31,24.07,17.84000015258789,2340.112,,,,,23.88,,,,
1950-08-31,24.2,18.420000076293945,,,,,,24.07,,2340.112,,
1950-09-30,24.34,19.450000762939453,,,,,,24.2,,,,
1950-10-31,24.5,19.530000686645508,2384.92,,,,,24.34,,,,
1950-11-30,24.6,19.510000228881836,,,,,,24.5,,2384.92,,
1950-12-31,24.98,20.43000030517578,,,,,,24.6,,,,
1951-01-31,25.38,21.65999984741211,2417.311,,0.07954062101233506,0.2703812795681002,0.10563012122861482,24.98,,,,
1951-02-28,25.83,21.799999237060547,,,0.09402795425667088,0.265969808730141,,25.38,0.07954062101233506,2417.311,0.10563012122861482,
1951-03-31,25.88,21.479999542236328,,,0.09475465313028764,0.2423365184987436,,25.83,0.09402795425667088,,,
1951-04-30,25.92,22.43000030517578,2459.196,,0.09598308668076116,0.24888649490899306,0.09149883823891658,25.88,0.09475465313028764,,,
1951-05-31,25.99,21.520000457763672,,,0.09339503575936048,0.14589987598171827,,25.92,0.09598308668076116,2459.196,0.09149883823891658,
1951-06-30,25.93,20.959999084472656,,,0.08584589614740379,0.18485011032755394,,25.99,0.09339503575936048,,,
1951-07-31,25.91,22.399999618530273,2509.88,,0.07644370585791438,0.2556053490437278,0.07254695501753772,25.93,0.08584589614740379,,,
1951-08-31,25.86,23.280000686645508,,,0.06859504132231398,0.26384368025091676,,25.91,0.07644370585791438,2509.88,0.07254695501753772,
1951-09-30,26.03,23.260000228881836,,,0.06943303204601481,0.19588685431838426,,25.86,0.06859504132231398,,,
1951-10-31,26.16,22.940000534057617,2515.408,,0.06775510204081625,0.17460316065138937,0.054713784948761335,26.03,0.06943303204601481,,,
1951-11-30,26.32,22.8799991607666,,,0.06991869918699178,0.17273187556891734,,26.16,0.06775510204081625,2515.408,0.054713784948761335,
1951-12-31,26.47,23.770000457763672,,,0.05964771817453962,0.1634850760007931,,26.32,0.06991869918699178,,,
1952-01-31,26.45,24.139999389648438,2542.286,,0.042159180457052914,0.11449674790891717,0.051700008811443654,26.47,0.05964771817453962,,,
1952-02-29,26.41,23.260000228881836,,,0.02245451025938827,0.06697252490446193,,26.45,0.042159180457052914,2542.286,0.051700008811443654,
1952-03-31,26.39,24.3700008392334,,,0.019706336939721902,0.1345438248876325,,26.41,0.02245451025938827,,,
1952-04-30,26.46,23.31999969482422,2547.762,,0.02083333333333326,0.03967897358624062,0.03601420952213652,26.39,0.019706336939721902,,,
1952-05-31,26.47,23.860000610351562,,,0.018468641785302164,0.10873606425708515,,26.46,0.02083333333333326,2547.762,0.03601420952213652,
1952-06-30,26.53,24.959999084472656,,,0.02313922097956045,0.190839702992317,,26.47,0.018468641785302164,,,
1952-07-31,26.68,25.399999618530273,2566.153,,0.029718255499807,0.1339285737093614,0.02242059381325001,26.53,0.02313922097956045,,,
1952-08-31,26.69,25.030000686645508,,,0.03209590100541382,0.07517181908864301,,26.68,0.029718255499807,2566.153,0.02242059381325001,
1952-09-30,26.63,24.540000915527344,,,0.023050326546292688,0.055030123561913724,,26.69,0.03209590100541382,,,
1952-10-31,26.69,24.520000457763672,2650.431,,0.020259938837920544,0.06887532201057822,0.053678369473262544,26.63,0.023050326546292688,,,
1952-11-30,26.69,25.65999984741211,,,0.014057750759878473,0.12150353097094979,,26.69,0.020259938837920544,2650.431,0.053678369473262544,
1952-12-31,26.71,26.56999969482422,,,0.009066868152625585,0.11779550623214319,,26.69,0.014057750759878473,,,
1953-01-31,26.64,26.3799991607666,2699.699,,0.007183364839319584,0.09279203926072621,0.06191789594089725,26.71,0.009066868152625585,,,
1953-02-28,26.59,25.899999618530273,,,0.006815600151457879,0.11349954272013996,,26.64,0.007183364839319584,2699.699,0.06191789594089725,
1953-03-31,26.63,25.290000915527344,,,0.009094353921940135,0.037751335437495426,,26.59,0.006815600151457879,,,
1953-04-30,26.69,24.6200008392334,2720.566,,0.008692365835222926,0.05574619045547036,0.06782580162511231,26.63,0.009094353921940135,,,
1953-05-31,26.7,24.540000915527344,,,0.0086890819795995,0.02849959294974891,,26.69,0.008692365835222926,2720.566,0.06782580162511231,
1953-06-30,26.77,24.139999389648438,,,0.009046362608367886,-0.03285255308099477,,26.7,0.0086890819795995,,,
1953-07-31,26.79,24.75,2705.258,,0.004122938530734643,-0.025590536546940434,0.054207601807062966,26.77,0.009046362608367886,,,
1953-08-31,26.85,23.31999969482422,,,0.005994754589734086,-0.06831805612908526,,26.79,0.004122938530734643,2705.258,0.054207601807062966,
