,ticker,weight,market_cap,revenue,revenue_growth,cashflow,net_income,gross_profit
0,AAPL,11.639,2942980063232.0,365817004032.0,0.288,104037998592.0,94679998464.0,152836000000.0
1,MSFT,10.138,2567353663488.0,176250994688.0,0.22,81945001984.0,67882999808.0,115856000000.0
2,AMZN,6.849,1716198965248.0,457965010944.0,0.153,54671998976.0,26262999040.0,152757000000.0
3,FB,4.854,953976750080.0,112329998336.0,0.351,53618999296.0,40304001024.0,69273000000.0
4,TSLA,4.325,1090817097728.0,46848000000.0,0.568,9930999808.0,3468000000.0,6630000000.0
5,NVDA,4.221,747624923136.0,24273999872.0,0.503,8142000128.0,8206000128.0,10557000000.0
6,GOOG,3.682,1946543849472.0,239210004480.0,0.41,89395003392.0,70617997312.0,97795000000.0
7,GOOGL,3.492,1945366953984.0,239210004480.0,0.41,89395003392.0,70617997312.0,97795000000.0
8,AVGO,1.808,277703163904.0,27449999360.0,0.145,13763999744.0,6437000192.0,20288000000.0
9,ADBE,1.778,270868168704.0,15784999936.0,0.2,,4822000128.0,13920000000.0
10,NFLX,1.776,270439907328.0,28632967168.0,0.163,658211968.0,5050954752.0,9719737000.0
11,CSCO,1.759,269758332928.0,50788999168.0,0.081,14785000448.0,11397000192.0,31894000000.0
12,COST,1.638,243212288000.0,195928997888.0,0.174,,5007000064.0,25245000000.0
13,CMCSA,1.564,230380683264.0,108990996480.0,0.204,25627000832.0,12465999872.0,70443000000.0
14,PYPL,1.512,224537886720.0,24568999936.0,0.132,5923999744.0,4935000064.0,10001000000.0
15,INTC,1.466,208017571840.0,78474002432.0,0.047,34083999744.0,21102000128.0,43612000000.0
16,QCOM,1.382,205711785984.0,33565999104.0,0.119,10535999488.0,9043000320.0,19304000000.0
17,AMD,1.359,179336970240.0,11422000128.0,0.929,2034000000.0,2883000064.0,4347000000.0
18,INTU,1.214,173508542464.0,8888000512.0,0.39,2995000064.0,2127000064.0,6323000000.0
19,TXN,1.208,173233700864.0,17588000768.0,0.216,8524000256.0,7288000000.0,9269000000.0
20,TMUS,1.159,150090989568.0,79673999360.0,0.018,14391000064.0,3352000000.0,40783000000.0
21,AMAT,0.969,141397426176.0,23062999040.0,0.306,5441999872.0,5888000000.0,10926000000.0
22,HON,0.946,142905606144.0,33959000064.0,0.178,6045000192.0,4974000128.0,10468000000.0
23,SBUX,0.936,132629446656.0,29060599808.0,0.313,5989100032.0,4199300096.0,8435400000.0
24,ISRG,0.89,43041939456.0,4551000064.0,0.175,1609600000.0,1173400064.0,2861200000.0
25,AMGN,0.855,128455901184.0,25767000064.0,0.044,8606000128.0,5608999936.0,19265000000.0
26,CHTR,0.835,122200858624.0,51093999616.0,0.092,16161999872.0,4289999872.0,21198000000.0
27,MU,0.772,105817194496.0,29618999296.0,0.332,14439000064.0,7363999744.0,10472000000.0
28,ADP,0.682,102839189504.0,15005400064.0,0.107,3093299968.0,2598500096.0,6768100000.0
29,LRCX,0.681,99155861504.0,14626150400.0,0.485,3588163072.0,3908457984.0,6805306000.0
30,BKNG,0.662,98753331200.0,9214999552.0,0.771,1964000000.0,382000000.0,4852000000.0
31,MRNA,0.643,99001147392.0,7019395072.0,63.985,9190971392.0,3494936064.0,-574877000.0
32,ADI,0.643,63971205120.0,6505013248.0,0.208,2466942976.0,1701261056.0,3690478000.0
33,MDLZ,0.615,92584165376.0,27843000320.0,0.124,4198000128.0,4313999872.0,10446000000.0
34,GILD,0.604,90727374848.0,27481999360.0,0.128,10094999552.0,7393999872.0,20998000000.0
35,CSX,0.601,83351691264.0,11920000000.0,0.243,4953999872.0,3607000064.0,5795000000.0
36,MRVL,0.545,72481792000.0,3917223936.0,0.615,631340032.0,-410665984.0,1515228000.0
37,FISV,0.476,70587498496.0,15800999936.0,0.1,3876999936.0,1300999936.0,7158000000.0
38,REGN,0.454,66381172736.0,13356199936.0,0.505,5939800064.0,6995500032.0,4455500000.0
39,MELI,0.443,62510796800.0,4699814912.0,1.114,1005206016.0,-15810000.0,2034526000.0
40,KLAC,0.436,64127053824.0,7463951872.0,0.354,2536652032.0,2726141952.0,4146569000.0
41,ASML,0.43,333561069568.0,20228078775.043213,0.324,10294377613.056885,6177621952.817139,7690010063.98201
42,ADSK,0.428,62061260800.0,4214000128.0,0.182,1466099968.0,1319200000.0,3484900000.0
43,NXPI,0.408,62922711040.0,10531000320.0,0.262,3320999936.0,1578000000.0,4267000000.0
44,LCID,0.403,,4353000.0,-0.305,-938190016.0,-3998904064.0,906000.0
45,FTNT,0.4,57342578688,3126599936.0,0.332,1429400064.0,554499968.0,2024400000.0
46,ILMN,0.393,55830401024,4280000000.0,0.395,669000000.0,907000000.0,2231000000.0
47,ABNB,0.39,105324724224,5318828032.0,0.667,1669735040.0,-4294385920.0,2502157000.0
48,SNPS,0.386,56127766528,4077212928.0,0.096,1324214016.0,753523968.0,2943043000.0
49,VRTX,0.373,57426833408,7129658880.0,0.29,2140039040.0,2176179968.0,3639846000.0
50,PANW,0.37,54802296832,4557499904.0,0.319,1556999936.0,-510300000.0,2981200000.0
51,IDXX,0.366,55014580224,3135207936.0,0.123,764515968.0,756864000.0,1571040000.0
52,XLNX,0.363,54092939264,3299532032.0,0.209,1237646976.0,759012992.0,2180995000.0
53,TEAM,0.358,96781492224,2243650048.0,0.336,840251008.0,-1074862976.0,1754821000.0
54,EXC,0.358,53246267392,34182000640.0,0.131,1894000000.0,1092000000.0,10033000000.0
55,MAR,0.357,53438988288,2851000064.0,1.142,761000000.0,467000000.0,1442000000.0
56,WDAY,0.357,68710457344,4673037824.0,0.187,1498449024.0,-36833000.0,3136864000.0
57,CDNS,0.349,52188598272,2975117056.0,0.126,1020622976.0,693113984.0,2377393000.0
58,ATVI,0.346,50234150912,9052000256.0,0.059,2892999936.0,2644000000.0,5826000000.0
59,ALGN,0.341,52252315648,3756005120.0,0.384,1281112960.0,740046976.0,1763235000.0
60,KDP,0.34,51012804608,12412999680.0,0.076,2723000064.0,1731000064.0,6530000000.0
61,DXCM,0.339,55680843776,2169900032.0,0.317,409000000.0,530600000.0,1280100000.0
62,MNST,0.337,49552687104,5312590848.0,0.132,1342909056.0,1527896960.0,2723880000.0
63,LULU,0.329,52845117440,5857053184.0,0.298,1376056064.0,870654976.0,2463991000.0
64,PAYX,0.327,48482832384,4056800000.0,0.125,1260300032.0,1097500032.0,2785600000.0
65,JD,0.322,107507949568,141220624764.75488,0.255,6439964624.808899,4068736613.947754,9478609166.657269
66,MCHP,0.321,23802667008,5698100224.0,0.198,2044600064.0,478600000.0,3378800000.0
67,ORLY,0.321,47355645952,12864842752.0,0.085,3052801024.0,2038657024.0,6085692000.0
68,CTSH,0.308,45531480064,17913999360.0,0.118,2568000000.0,1876999936.0,6060000000.0
69,CTAS,0.306,45900808192,7266715136.0,0.086,1310589056.0,1134926976.0,3314651000.0
70,DDOG,0.301,56072396800,880116992.0,0.749,194580000.0,-44074000.0,473456000.0
71,ZS,0.3,44506390528,761038976.0,0.617,241779008.0,-297824000.0,524019000.0
72,WBA,0.298,43785875456,142506999808.0,0.046,5555999744.0,-649000000.0,28017000000.0
73,ZM,0.292,56281808896,3910972928.0,0.352,1795266048.0,1144920064.0,1829379000.0
74,AEP,0.292,43218382848,16341199872.0,0.137,3883699968.0,2384699904.0,6966000000.0
75,KHC,0.292,43226120192,26389000192.0,-0.005,4742000128.0,2164999936.0,9171000000.0
76,CRWD,0.288,47701942272,1285512960.0,0.635,529528992.0,-211824000.0,644893000.0
77,EBAY,0.28,41604222976,11418999808.0,0.142,2972000000.0,2294000128.0,7798000000.0
78,ROST,0.272,40035819520,18145265664.0,0.218,1966462976.0,1593746944.0,3534366000.0
79,EA,0.262,38027522048,5720999936.0,0.063,1412999936.0,676000000.0,4135000000.0
