,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,1w_chg_pct,1m_chg_pct,1y_chg_pct,max_drawdown,ticker,fax,address2,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,ratecode,USD-USD,CNY-USD,TWD-USD,CNY-HKD,EUR-USD,rate
0,90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],https://www.activisionblizzard.com,1.0,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,0.37638,0.29209,0.72647005,2892999936.0,0.059,0.36168998,3407000064.0,54.0,buy,5826000000.0,2751749888.0,95.0,67.16,0.051,5.561,0.08984,33.0,92.47,21.28,0.16877002,125.0,10000000000.0,3607000064.0,9052000256.0,12.839,USD,11.672,5.25,2.0,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EST,0.0,-18000000,EQUITY,ATVI,finmb_4222231,us_market,,4.925,,13.086,-0.27200264,,3.8,,778889024.0,,,,21.765,8855330.0,0.0114,,1609372800.0,0.88098997,2644000000.0,3.371,0.47,0.2825023,3.0856884,0.00727,1672444800.0,,1632960000.0,0.64,1636934400.0,773117020.0,0.673246,44585259008.0,2.0,,1220832000.0,2:1,,1618358400.0,,0.058,5.778854,1639526400.0,1.29,,17.673685,,0.0115,9575800.0,,,,66.67,66.57,82.9558,0.0070496476,0.13949999,,67.18,,11094040.0,66.67,66.5792,0.47,66.57,,11094040.0,,,0.47,1618358400.0,,,66.19,USD,19.922873,8419693.0,,,,52310188032.0,,,11310500.0,66.19,67.19,1300.0,8419693.0,104.53,,0.57,56.4,67.17,0.0,0.0069999998,1400.0,67.18,67.16,66.58,https://logo.clearbit.com/activisionblizzard.com,4.773799158862202,11.357987287083638,-26.140766895261102,-34.99163283120475,ATVI,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
1,95110-2704,Technology,,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1.0,345 Park Avenue,Software—Infrastructure,0.41681,0.30548,0.88185,,0.2,0.36756,6579333120.0,560.0,buy,13920000000.0,,680.0,569.29,-0.445,1.248,0.14076,28.0,671.75,31.581,0.34368,750.0,5798000128.0,4672999936.0,15784999936.0,12.181,USD,33.092,1.107,1.8,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EST,False,-18000000,EQUITY,ADBE,finmb_24321,us_market,,17.098,,41.021,0.14455724,,16.25,,475800000.0,,,,31.086,4795281.0,0.0101,,1638489600.0,0.85415,4822000128.0,10.02,0.0065,0.2825023,18.313387,0.00312,1701561600.0,,1638489600.0,1.59,1636934400.0,474619600.0,1.060779,269890355200.0,2.0,,1116892800.0,2:1,,1111622400.0,,-0.452,17.159845,1639526400.0,2.69,,35.03323,,0.0101,4143342.0,,,,569.36,573.3291,582.65686,,0.0,,576.96,,4748990.0,569.36,638.1366,,573.3291,,4748990.0,,,,1111622400.0,,,562.78,USD,56.815365,2462958.0,,,,270868168704.0,,,2725656.0,562.78,569.39,1800.0,2462958.0,699.54,,,420.78,568.51,False,,1000.0,576.96,569.29,575.66,https://logo.clearbit.com/adobe.com,0.9415223487508229,-17.19297937221387,13.37953727981407,-17.298838986956667,ADBE,408 537 6000,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
2,95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],https://www.amd.com,1.0,2485 Augustine Drive,Semiconductors,0.23047,0.26724002,0.46822,3252999936,0.54,0.20496,3423000064.0,101.5,buy,4347000000.0,2437625088,140.0,148.26,1.331,2.241,0.20934,35.0,142.5,9.837,0.72143996,180.0,3608000000.0,702000000.0,14851999744.0,2.988,USD,12.249,1.638,2.3,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EST,False,-18000000,EQUITY,AMD,finmb_168864,us_market,,12.257,,53.181,0.659443,,3.34,,1207609984.0,,,,5.888,69630670.0,0.0577,,1608940800.0,0.70428,3968999936.0,3.242,,0.2825023,25.180027,0.00421,1672012800.0,,1632528000.0,1.25,1636934400.0,1200521782.0,1.931428,182039543808.0,2.0,,966902400.0,2:1,,,,1.367,12.054959,1639526400.0,1.57,,44.38922,,0.058000002,75487134.0,,,,153.15,152.82,103.71105,,0.0,,154.3399,,54562330.0,153.15,140.057,,152.82,,54562330.0,,,,798940800.0,,,147.49,USD,45.731026,51143140.0,,,,179040256000.0,,,54700570.0,147.49,147.74,900.0,51143140.0,164.46,,,72.5,147.21,False,,800.0,154.3399,148.26,152.9,https://logo.clearbit.com/amd.com,3.044196188060222,-8.430615061784385,63.60625691156023,-8.430615061784385,AMD,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
3,94103,Consumer Cyclical,5597.0,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",San Francisco,415 510 4027,CA,United States,[],https://www.airbnb.com,1.0,888 Brannan Street,Travel Services,-0.48587,-0.80739,0.79877996,1669735040,0.667,-0.50794,-2584251904.0,140.0,buy,2502157000.0,2307960832,194.5,167.44,0.664,1.863,-0.15137,34.0,196.29,54.642,-1.3624,250.0,7920702976.0,2430998016.0,5318828032.0,12.649,USD,9.758,1.225,2.4,NMS,"Airbnb, Inc.","Airbnb, Inc.",America/New_York,EST,False,-18000000,EQUITY,ABNB,finmb_115705393,us_market,,18.948,,-38.998,0.14336729,,0.93,,346824000.0,,,,7.111,12548690.0,0.0198,,1609372800.0,0.58765,-4294385920.0,-7.886,,0.2825023,23.546618,0.0022,1672444800.0,,1632960000.0,1.91,1636934400.0,332418654.0,,100780818432.0,2.0,,,,,,,2.802,20.00244,1639526400.0,-2.67,,180.04301,,0.036199998,15091670.0,635388992,,,169.71,169.52,163.40096,,0.0,,170.4799,,7040220.0,169.71,178.1232,,169.52,,7040220.0,,,,,,,165.04,USD,,1974552.0,,,,106389536768.0,,,5902746.0,165.04,167.29,900.0,1974552.0,219.94,,,129.71,166.0,False,,800.0,170.4799,167.44,169.3,https://logo.clearbit.com/airbnb.com,-1.0927939737109704,-7.019102210753458,11.626668294270836,-22.781772150331026,ABNB,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
4,85281,Healthcare,21590.0,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign moderate, lite and express packages, and Invisalign go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers. This segment also provides computer-aided design and computer-aided manufacturing services; ancillary products, such as disposable sleeves for the wand; iTero model and dies; third party scanners and digital scans; Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan. The company sells its products in the United States, Switzerland, China, and internationally. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",Tempe,408 470 1000,AZ,United States,[],https://www.aligntech.com,1.0,410 North Scottsdale Road,Medical Devices,0.28557,0.19703,0.74581003,1281112960,0.384,0.2579,1072601984.0,550.0,buy,1763235000.0,781198528,750.0,653.34,0.295,1.371,0.120299995,11.0,752.91,2.745,0.22596,850.0,1237821952.0,96522000.0,3756005120.0,15.698,USD,47.58,1.169,2.0,NMS,"Align Technology, Inc.","Align Technology, Inc.",America/New_York,EST,False,-18000000,EQUITY,ALGN,finmb_24568,us_market,,13.476,,47.189,0.25185,,13.44,,78853104.0,,,,44.6,1097358.0,0.0139,,1609372800.0,0.87516,740046976.0,9.278,,0.2825023,14.64888,0.06697,1672444800.0,,1632960000.0,2.13,1636934400.0,73877440.0,1.571948,50615488512.0,2.0,,,,,,,0.298,13.71614,1639526400.0,1.36,,48.61161,,0.0139999995,1554127.0,,,,656.37,649.9203,631.1622,,0.0,,660.0,,602410.0,656.37,644.5088,,649.9203,,602410.0,,,,,,,649.9203,USD,70.4182,195681.0,,,,51517890560.0,,,622091.0,649.9203,679.99,2200.0,195681.0,737.45,,,494.45,653.48,False,,1000.0,660.0,653.34,657.96,https://logo.clearbit.com/aligntech.com,1.1534490452041357,2.9741448805578274,25.53367499885364,-10.491554944059322,ALGN,408 470 1010,Suite 1300,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
5,94043,Communication Services,150028.0,"Larry Page and Sergey Brin founded Google in September 1998. Since then, the company has grown to more than 130,000 employees worldwide, with a wide range of popular products and platforms like Search, Maps, Ads, Gmail, Android, Chrome, Google Cloud and YouTube. In October 2015, Alphabet became the parent holding company of Google.",Mountain View,650 253 0000,CA,United States,[],https://www.abc.xyz,1.0,1600 Amphitheatre Parkway,Internet Content & Information,0.35616,0.29521,0.56511,89395003392,0.41,0.303,85196996608.0,1850.0,buy,97795000000.0,52658749440,3350.0,2933.1,0.707,2.98,0.14011,44.0,3301.2,11.493,0.30872,3925.0,142002995200.0,28109000704.0,239210004480.0,213.936,USD,356.562,2.862,1.7,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EST,False,-18000000,EQUITY,GOOGL,finmb_29096,us_market,,7.664,,21.52,0.68969905,,112.42,,300809984.0,,,,367.946,2061501.0,0.0031,,1609372800.0,0.79753,70617997312.0,103.805,,0.2825023,7.97155,0.0015,1672444800.0,,1632960000.0,1.39,1636934400.0,578390669.0,1.068051,1833416916992.0,2.0,,1396483200,1998:1000,,,,0.684,8.132464,1639526400.0,1.29,,26.090555,,0.0069,2555428.0,663763968,,,2933.74,2932.8857,2607.3315,,0.0,,2947.58,,1508490.0,2933.74,2904.6453,,2932.8857,,1508490.0,,,,,,,2913.93,USD,28.255865,887426.0,,,,1945366953984.0,,,1560554.0,2913.93,2933.46,1100.0,887426.0,3019.33,,,1696.1,2923.01,False,,800.0,2947.58,2933.1,2934.94,https://logo.clearbit.com/abc.xyz,0.163919296113324,0.7726898967686191,66.86578835340222,-2.1246182209524123,GOOGL,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
6,94043,Communication Services,150028.0,"Larry Page and Sergey Brin founded Google in September 1998. Since then, the company has grown to more than 130,000 employees worldwide, with a wide range of popular products and platforms like Search, Maps, Ads, Gmail, Android, Chrome, Google Cloud and YouTube. In October 2015, Alphabet became the parent holding company of Google.",Mountain View,650 253 0000,CA,United States,[],https://www.abc.xyz,1.0,1600 Amphitheatre Parkway,Internet Content & Information,0.35616,0.29521,0.56511,89395003392,0.41,0.303,85196996608.0,3140.0,buy,97795000000.0,52658749440,3360.0,2930.09,0.707,2.98,0.14011,9.0,3366.67,11.493,0.30872,3925.0,142002995200.0,28109000704.0,239210004480.0,213.936,USD,356.562,2.862,1.6,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EST,False,-18000000,EQUITY,GOOG,finmb_29096,us_market,,7.651,,21.482,0.6837748,,112.3,,317737984.0,,,,367.946,1667888.0,0.0025,,1609372800.0,0.6635,70617997312.0,103.805,,0.2825023,7.9633694,0.00034000003,1672444800.0,,1632960000.0,1.48,1636934400.0,578390669.0,1.068051,1830244188160.0,2.0,,1430092800,10027455:10000000,,,,0.684,8.137384,1639526400.0,1.29,,26.091629,,,2042544.0,663763968,,,2928.96,2928.59,2637.7805,,0.0,,2943.675,,1133250.0,2928.96,2917.2473,,2928.59,,1133250.0,,,,,,,2910.09,USD,28.226868,828203.0,,,,1946543849472.0,,,1134520.0,2910.09,2928.5,1000.0,828203.0,3037.0,,,1699.0,2922.37,False,,800.0,2943.675,2930.09,2927.0,https://logo.clearbit.com/abc.xyz,-0.30248224340430063,0.26725907563449613,66.60356035641044,-2.7898083610499613,GOOG,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
7,98109-5210,Consumer Cyclical,1468000.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.",Seattle,206-266-1000,WA,United States,[],https://www.amazon.com,1.0,410 Terry Avenue North,Internet Retail,0.1319,0.057350002,0.41307,54671998976,0.153,0.06178,60403998720.0,3771.0,buy,152757000000.0,9271374848,4050.0,3384.02,-0.505,1.117,0.05321,51.0,4110.76,113.001,0.25832,5000.0,78988001280.0,136237998080.0,457965010944.0,155.75,USD,909.112,0.866,1.7,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EST,False,-18000000,EQUITY,AMZN,finmb_18749,us_market,,3.905,,29.605,0.038763165,,51.59,,507148000.0,,,,237.799,3599503.0,0.0070999996,,1609372800.0,0.59262,26262999040.0,51.099,,0.2825023,14.23059,0.13356,1672444800.0,,1632960000.0,1.06,1636934400.0,456295928.0,1.126233,1788256452608.0,2.0,,936230400,2:1,,,,-0.502,3.7474456,1639526400.0,2.32,,65.5945,,0.0082,4226657.0,,,,3413.22,3416.8,3380.8396,,0.0,,3424.24,,2983140.0,3413.22,3458.8535,,3416.8,,2983140.0,,,,,,,3373.195,USD,66.22478,1782556.0,,,,1716198965248.0,,,3235516.0,3373.195,3383.79,800.0,1782556.0,3773.08,,,2881.0,3380.0,False,,1100.0,3424.24,3384.02,3417.18,https://logo.clearbit.com/amazon.com,-1.0734510897628669,-4.985162313819447,1.8669482098509826,-9.309882879679243,AMZN,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
8,43215-2373,Utilities,16787.0,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, and hydroelectric, as well as solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. The company owns, leases, or controls approximately 3,016 railcars, 411 barges, 6 towboats, and a coal handling terminal with approximately 18 million tons of annual capacity. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",Columbus,614-716-1000,OH,United States,[],https://www.aep.com,1.0,1 Riverside Plaza,Utilities—Regulated Electric,0.37291,0.14593,0.45705003,3883699968,0.137,0.20907,6093799936.0,84.0,buy,6966000000.0,-1712162560,94.78,88.58,0.053,0.581,0.025880001,16.0,96.91,168.289,0.11048,112.0,1591100032.0,37910900736.0,16341199872.0,3.159,USD,32.769,0.389,2.2,NMS,American Electric Power Company,"American Electric Power Company, Inc.",America/New_York,EST,False,-18000000,EQUITY,AEP,finmb_135470,us_market,,4.957,,13.292,0.0821985,,4.97,,496390016.0,,,,44.24,5547433.0,0.0112,,1609372800.0,0.74087,2384699904.0,4.762,0.78,0.2825023,2.0022604,0.00024000001,1672444800.0,,1632960000.0,2.0,1636934400.0,503153062.0,0.345454,80996016128.0,2.0,,-226281600,2:1,,1636416000,,0.063,2.690759,1639526400.0,3.35,,17.822939,,0.0112,5982115.0,,,,88.21,88.37,85.7678,0.033556286,0.6218,,88.68,,2769260.0,88.21,84.3338,2.96,88.37,,2769260.0,,,3.12,1636416000,,,88.12,USD,18.601427,1142835.0,,,,43970228224.0,,,2643961.0,88.12,88.9,1000.0,1142835.0,91.49,,3.31,74.8,88.58,False,0.0354,900.0,88.68,88.58,88.26,https://logo.clearbit.com/aep.com,2.262755740388145,6.325776529706917,13.032839457038525,-1.8321977588161675,AEP,,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
9,91320-1799,Healthcare,24300.0,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology, and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta that reduces the chance of infection due a low white blood cell count in patients cancer; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with BehÃ§et's disease; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; and Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization. It also markets Nplate, Vectibix, MVASI, Parsabiv, EPOGEN, KANJINTI, BLINCYTO, Aimovig, EVENITY, AMGEVITATM, Sensipar/Mimpara, NEUPOGEN, IMLYGIC, Corlanor, and AVSOLA. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with Novartis Pharma AG; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; Eli Lilly and Company; Datos Health; and Verastem, Inc. to evaluate VS-6766 in combination with lumakrastm (Sotorasib) in patients with KRAS G12C-mutant non-small cell lung cancer. It has an agreement with Kyowa Kirin Co., Ltd. to jointly develop and commercialize KHK4083, a Phase 3-ready anti-OX40 fully human monoclonal antibody for the treatment of atopic dermatitis and other autoimmune diseases; and a strategic research and development collaboration with Neumora Therapeutics, Inc. Amgen Inc. was founded in 1980 and is headquartered in Thousand Oaks, California.",Thousand Oaks,805 447 1000,CA,United States,[],https://www.amgen.com,1.0,One Amgen Center Drive,Drug Manufacturers—General,0.47642,0.21767999,0.75421995,8606000128,0.044,0.34998,12275999744.0,185.0,buy,19265000000.0,7394749952,235.0,227.6,-0.035,1.643,0.08696,25.0,240.24,457.332,0.585,298.0,12920999936.0,37579001856.0,25767000064.0,22.939,USD,44.89,1.192,2.5,NMS,Amgen Inc.,Amgen Inc.,America/New_York,EST,False,-18000000,EQUITY,AMGN,finmb_24816,us_market,,5.932,,12.452,-0.0061627626,,17.96,,563265984.0,,,,14.543,11402494.0,0.0202,,1609372800.0,0.77177,5608999936.0,9.701,1.76,0.2825023,15.650141,0.00214,1672444800.0,,1632960000.0,3.64,1636934400.0,562184431.0,0.615064,152857313280.0,2.0,,943228800,2:1,,1636934400,,-0.068,4.975331,1639526400.0,2.24,,12.672606,,0.020299999,11624960.0,,,,225.77,225.582,230.12625,0.030473491,0.7093,,228.21,,3230220.0,225.77,210.7294,6.88,225.582,,3230220.0,,,7.76,1644796800,,,224.99,USD,23.461498,1320260.0,,,,128199344128.0,,,2906041.0,224.99,228.88,800.0,1320260.0,276.69,,2.72,198.64,227.6,False,0.0344,900.0,228.21,227.6,226.07,https://logo.clearbit.com/amgen.com,2.7400385309739095,11.859244477341303,3.4253955627741695,-10.122182903841603,AMGN,805 447 1010,,,,,,USD-USD,1,0.16,0.036,1.22,1.13,1.0
