Ticker,Weight
AAPL,11.639
MSFT,10.138
AMZN,6.849
FB,4.854
TSLA,4.325
NVDA,4.221
GOOG,3.682
GOOGL,3.492
AVGO,1.808
ADBE,1.778
NFLX,1.776
CSCO,1.759
COST,1.638
PEP,1.564
CMCSA,1.512
PYPL,1.466
INTC,1.382
QCOM,1.359
AMD,1.214
INTU,1.208
TXN,1.159
TMUS,0.969
AMAT,0.946
HON,0.936
SBUX,0.89
ISRG,0.855
AMGN,0.835
CHTR,0.772
MU,0.682
ADP,0.681
LRCX,0.662
BKNG,0.643
MRNA,0.643
ADI,0.615
MDLZ,0.604
GILD,0.601
CSX,0.545
MRVL,0.476
FISV,0.454
REGN,0.443
MELI,0.436
KLAC,0.43
ASML,0.428
ADSK,0.408
NXPI,0.403
LCID,0.4
FTNT,0.393
ILMN,0.39
ABNB,0.386
SNPS,0.373
VRTX,0.37
PANW,0.366
IDXX,0.363
XLNX,0.358
TEAM,0.358
EXC,0.357
MAR,0.357
WDAY,0.349
CDNS,0.346
ATVI,0.341
ALGN,0.34
KDP,0.339
DXCM,0.337
MNST,0.329
LULU,0.327
PAYX,0.322
JD,0.321
MCHP,0.321
ORLY,0.308
CTSH,0.306
CTAS,0.301
DDOG,0.3
ZS,0.298
WBA,0.292
ZM,0.292
AEP,0.292
KHC,0.288
CRWD,0.28
EBAY,0.272
ROST,0.262
EA,0.248
MTCH,0.247
VRSK,0.241
FAST,0.241
XEL,0.239
ANSS,0.235
CPRT,0.233
BIIB,0.228
BIDU,0.224
OKTA,0.218
DLTR,0.206
PCAR,0.198
DOCU,0.197
SGEN,0.189
VRSN,0.184
NTES,0.181
SWKS,0.169
SIRI,0.168
PDD,0.153
SPLK,0.119
PTON,0.069
