,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,1w_chg_pct,1m_chg_pct,1y_chg_pct,max_drawdown,ticker,fax,address2,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,ratecode,ratecode2,USD-USD,CNY-USD,TWD-USD,HKD-USD,EUR-USD,rate,rate2
0,94025,Communication Services,83553.0,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, wearables, and in-home devices worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment's products include Facebook, which enables people to share, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices through chat, audio and video calls, and rooms; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising virtual reality hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California.",Menlo Park,650 543 4800,CA,United States,[],https://investor.fb.com,1.0,1601 Willow Road,Internet Content & Information,0.40225,0.28163,0.80474,58466000896.0,-0.009,0.33405,48033001472.0,140.0,buy,95280000000.0,29296625664.0,217.0,151.47,-0.319,2.52,0.14648,51.0,226.23,13.262,0.25478,466.0,40489000960.0,16679000064.0,119409999872.0,15.065,USD,43.398,2.341,2.1,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",America/New_York,EDT,0.0,-14400000,EQUITY,META,finmb_20765463,us_market,,3.247,,8.072,-0.5904739,,11.0,,2280669952.0,,,,46.632,26001739.0,0.0097,,1640908800.0,0.75698,33629999104.0,12.57,,-0.12230456,3.2481987,0.00545,1703980800.0,,1656547200.0,1.08,1659052800.0,2239829772.0,1.295645,387734306816.0,2.0,,,,,,,-0.357,3.4091215,1661904000.0,3.16,,13.77,,0.0114,24416114.0,0.0,,,153.13,153.33,221.26144,0.0,0.0,,153.5,,26160990.0,153.13,167.237,0.0,153.33,,26160990.0,,,,,,,149.05,USD,12.050119,43064195.0,,,,407083188224.0,,,28319575.0,149.05,152.09,1100.0,43064195.0,377.56,,,149.05,152.0,0.0,,1100.0,153.5,,151.47,153.17,https://logo.clearbit.com/investor.fb.com,-5.561442859835197,-16.264026904866526,-59.77212925616392,-59.77212925616392,META,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
1,98052-6399,Technology,221000.0,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, Microsoft Viva, and Skype for Business; Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. The Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related Client Access Licenses; GitHub that provides a collaboration platform and code hosting service for developers; Nuance provides healthcare and enterprise AI solutions; and Azure, a cloud platform. It also offers enterprise support, Microsoft consulting, and nuance professional services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. The More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; and Windows Internet of Things. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington.",Redmond,425 882 8080,WA,United States,[],https://www.microsoft.com,1.0,One Microsoft Way,Software—Infrastructure,0.49418998,0.36686,0.68402,89034997760.0,0.124,0.42055,97982996480.0,250.0,buy,135620000000.0,49479000064.0,330.0,252.22,0.031,1.785,0.14919,44.0,331.51,47.075,0.47151002,411.0,104748998656.0,78399995904.0,198269992960.0,14.045,USD,26.45,1.567,1.7,NMS,Microsoft Corporation,Microsoft Corporation,America/New_York,EDT,False,-14400000,EQUITY,MSFT,finmb_21835,us_market,,9.355,,18.931,-0.1733154,,11.94,,7457889792.0,,,,22.313,40544332.0,0.0054,,1656547200.0,0.72055,72737996800.0,9.65,0.62,-0.12230456,11.303724,0.00077,1719705600.0,,1656547200.0,1.95,1659052800.0,7451254348.0,0.942868,1854904205312.0,2.0,,1045526400,2:1,,1660694400,,0.017,9.4785595,1661904000.0,1.61,,21.123955,,0.0054,38192351.0,0.0,,,251.99,253.53,287.8264,0.00984166,0.2508,,254.23,,23357740.0,251.99,270.1418,2.48,253.53,,23357740.0,,,2.48,1660694400,,,249.86,USD,26.13679,21984897.0,,,,1879313874944.0,,,24625769.0,249.86,253.09,1100.0,21984897.0,349.67,,1.21,241.51,252.6,False,0.0098,900.0,254.23,,252.22,253.7,https://logo.clearbit.com/microsoft.com,-2.274398543329248,-13.873522622210622,-15.163174528745893,-26.009762894483536,MSFT,425 706 7329,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
2,95014,Technology,154000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1.0,One Apple Park Way,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072.0,0.019,0.30533,129556996096.0,122.0,buy,152836000000.0,83344621568.0,185.0,155.31,-0.077,0.865,0.22204,42.0,181.77,205.984,1.62816,220.0,48230998016.0,119691001856.0,387541991424.0,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,6.63,,19.832,0.03227544,,6.44,,16070800384.0,,,,3.61,113066596.0,0.0069999998,,1632528000.0,0.59742,99632996352.0,6.05,0.23,-0.12230456,43.02216,0.0007,1695600000.0,,1656115200.0,1.72,1659052800.0,16054199125.0,1.234119,2569337044992.0,2.0,,1598832000,4:1,,1659657600,,-0.106,6.3794837,1661904000.0,2.66,,24.116459,,0.0069999998,107535584.0,0.0,,,153.84,154.785,161.00505,0.0057852315,0.1471,,157.1,,85859850.0,153.84,158.924,0.89,154.785,,85859850.0,,,0.92,1659657600,,,153.6106,USD,25.671074,87965409.0,,,,2472317812736.0,,,74237127.0,153.6106,155.81,1100.0,87965409.0,182.94,,1.03,129.04,155.77,False,0.0058999998,1300.0,157.1,,155.31,154.82,https://logo.clearbit.com/apple.com,-0.41677938400321857,-10.323924378291792,5.4417446666609415,-14.31641419137052,AAPL,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
3,94043,Communication Services,174014.0,"Alphabet Inc. provides various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment offers products and services, including ads, Android, Chrome, hardware, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play store; and Fitbit wearable devices, Google Nest home products, Pixel phones, and other devices, as well as in the provision of YouTube non-advertising services. The Google Cloud segment offers infrastructure, platform, and other services; Google Workspace that include cloud-based collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells health technology and internet services. The company was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650 253 0000,CA,United States,[],https://www.abc.xyz,1.0,1600 Amphitheatre Parkway,Internet Content & Information,0.34834,0.25892,0.56744,95001001984.0,0.126,0.29648,96886996992.0,132.0,strong_buy,146698000000.0,51070373888.0,150.0,105.87,-0.113,2.809,0.14927,10.0,148.95,11.28,0.29216,164.5,124997001216.0,28810000384.0,278139011072.0,9.583,USD,21.03,2.642,1.5,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,False,-14400000,EQUITY,GOOG,finmb_29096,us_market,,4.621,,13.266,-0.27475446,,5.91,,6162999808.0,,,,19.53,38619611.0,0.003,,1640908800.0,0.64184,72016003072.0,5.4,,-0.12230456,5.420891,0.00041,1703980800.0,,1656547200.0,2.06,1659052800.0,11360802240.0,1.089093,1285303042048.0,2.0,,1658102400,20:1,,,,-0.136,4.91429,1661904000.0,1.5,,17.913706,,,34674376.0,0.0,,,105.31,105.44,126.13061,0.0,0.0,,106.1,,22949800.0,105.31,114.53322,0.0,105.44,,22949800.0,,,,,,,104.5,USD,19.605556,22115805.0,,,,1366855778304.0,,,25956643.0,104.5,106.22,1100.0,22115805.0,152.1,,,102.208,106.2,False,,1000.0,106.1,,105.87,105.44,https://logo.clearbit.com/abc.xyz,-4.172701367013709,-13.84276927656165,-26.174638145630425,-29.752036703954143,GOOG,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
4,98109-5210,Consumer Cyclical,1523000.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and series; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.",Seattle,206 266 1000,WA,United States,[],https://www.amazon.com,1.0,410 Terry Avenue North,Internet Retail,0.10829,0.02389,0.42645,35574001664.0,0.072,0.03148,52620001280.0,110.0,buy,197478000000.0,-13441125376.0,172.0,128.55,,0.953,0.02451,48.0,171.18,119.907,0.094289996,232.75,60709998592.0,157559996416.0,485901991936.0,5.959,USD,47.816,0.679,1.7,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMZN,finmb_18749,us_market,,2.858,,26.394,-0.2702666,,2.31,,10187599872.0,,,,12.904,71375116.0,0.0069999998,,1640908800.0,0.59793,11607000064.0,1.03,,-0.12230456,9.962028,0.098570004,1703980800.0,,1656547200.0,1.4,1659052800.0,9172874358.0,1.3332,1388835766272.0,2.0,,1654473600,20:1,,,,,2.6952267,1661904000.0,34.67,,55.649353,,0.008,67798677.0,0.0,,,126.82,127.364,140.82484,0.0,0.0,,128.84,,52840470.0,126.82,128.5916,0.0,127.364,,52840470.0,,,,,,,126.33,USD,124.80583,45205399.0,,,,1309615980544.0,,,60759824.0,126.33,129.05,1000.0,45205399.0,188.1075,,,101.26,129.0,False,,900.0,128.84,,128.55,127.599,https://logo.clearbit.com/amazon.com,-0.7182520130277203,-10.2179008048644,-25.478259100430257,-30.43943692347503,AMZN,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
5,10017,Healthcare,79000.0,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products worldwide. It offers medicines and vaccines in various therapeutic areas, including cardiovascular metabolic and women's health under the Premarin family and Eliquis brands; biologics, small molecules, immunotherapies, and biosimilars under the Ibrance, Xtandi, Sutent, Inlyta, Retacrit, Lorbrena, and Braftovi brands; and sterile injectable and anti-infective medicines, and oral COVID-19 treatment under the Sulperazon, Medrol, Zavicefta, Zithromax, Vfend, Panzyga, and Paxlovid brands. The company also provides medicines and vaccines in various therapeutic areas, such as pneumococcal disease, meningococcal disease, tick-borne encephalitis, and COVID-19 under the Comirnaty/BNT162b2, Nimenrix, FSME/IMMUN-TicoVac, Trumenba, and the Prevnar family brands; biosimilars for chronic immune and inflammatory diseases under the Xeljanz, Enbrel, Inflectra, Eucrisa/Staquis, and Cibinqo brands; and amyloidosis, hemophilia, and endocrine diseases under the Vyndaqel/Vyndamax, BeneFIX, and Genotropin brands. In addition, the company is involved in the contract manufacturing business. It serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies, and individual provider offices, as well as disease control and prevention centers. The company has collaboration agreements with Bristol-Myers Squibb Company; Astellas Pharma US, Inc.; Myovant Sciences Ltd.; Akcea Therapeutics, Inc; Merck KGaA; Valneva SE; BioNTech SE; and Arvinas, Inc. Pfizer Inc. was founded in 1849 and is headquartered in New York, New York.",New York,212 733 2323,NY,United States,[],https://www.pfizer.com,1.0,235 East 42nd Street,Drug Manufacturers—General,0.42973,0.28939,0.62755,31453999104.0,0.468,0.38050997,43520999424.0,49.0,buy,50627000000.0,29055250432.0,56.55,46.15,0.774,1.423,0.1319,20.0,57.3,46.291,0.37397,75.0,33312000000.0,40490000384.0,101275000832.0,5.935,USD,18.059,1.077,2.3,NYQ,"Pfizer, Inc.",Pfizer Inc.,America/New_York,EDT,False,-14400000,EQUITY,PFE,finmb_162270,us_market,,2.633,,6.127,0.031717658,,56.52,,5612349952.0,,,,15.592,62199380.0,0.0111,,1640908800.0,0.70189005,29481000960.0,5.14,0.4,-0.12230456,2.9598513,0.00046,1703980800.0,,1656806400.0,3.47,1659052800.0,5607693557.0,0.654015,266673537024.0,2.0,,1605571200,1054:1000,,1658966400,,0.781,2.5574915,1661904000.0,,,0.81652516,,0.0111,59897992.0,0.0,,,46.19,46.2,51.5373,0.03420654,0.3074,,46.41,,17597630.0,46.19,49.5288,1.58,46.2,,17597630.0,,,1.6,1658966400,,,45.78,USD,8.9786,17160451.0,,,,259009953792.0,,,18403295.0,45.78,46.19,1100.0,17160451.0,61.71,,3.6,40.94,46.11,False,0.0346,4000.0,46.41,,46.15,46.13,https://logo.clearbit.com/pfizer.com,0.043356725125898166,-7.236177837429336,6.594866506471142,-22.86715871322872,PFE,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
6,60607,Consumer Cyclical,100000.0,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, wraps, fries, salads, oatmeal, shakes, desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including biscuit and bagel sandwiches, breakfast burritos, hotcakes, and other sandwiches. As of December 31, 2021, the company operated 40,031 restaurants. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",Chicago,630 623 3000,IL,United States,[],https://corporate.mcdonalds.com,1.0,110 North Carpenter Street,Restaurants,0.5116,0.25773,0.55287,8035700224.0,-0.029,0.43138,12070899712.0,250.0,buy,12580200000.0,5407974912.0,285.0,255.72,-0.458,1.414,0.12579,33.0,282.88,,,328.0,1938599936.0,47646400512.0,23594399744.0,2.635,USD,31.747,1.085,2.0,NYQ,McDonald's Corporation,McDonald's Corporation,America/New_York,EDT,False,-14400000,EQUITY,MCD,finmb_139488,us_market,,9.868,,19.288,0.05539882,,10.59,,735716992.0,,,,-8.658,5651733.0,0.0077,,1640908800.0,0.69786,6081099776.0,8.12,1.38,-0.12230456,,0.0017,1703980800.0,,1656547200.0,2.7,1659052800.0,734687267.0,0.570115,232822767616.0,2.0,,920851200,2:1,,1661904000,,-0.465,7.9738226,1661904000.0,3.59,,24.147308,,0.0077,6071707.0,0.0,,,254.33,255.0,251.85855,0.021350214,0.66870004,,258.265,,2563450.0,254.33,258.0218,5.43,255.0,,2563450.0,,,5.52,1661904000,,,254.37,USD,31.49261,2744659.0,,,,188137553920.0,,,2460985.0,254.37,256.2,900.0,2744659.0,271.15,,2.3,217.68,254.0,False,0.0217,800.0,258.265,,255.72,255.0,https://logo.clearbit.com/corporate.mcdonalds.com,-1.0448154425881206,-3.1345156114839345,8.416356813833925,-3.63549903628978,MCD,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
7,95051,Technology,22473.0,"NVIDIA Corporation provides graphics, and compute and networking solutions in the United States, Taiwan, China, and internationally. The company's Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building 3D designs and virtual worlds. Its Compute & Networking segment provides Data Center platforms and systems for AI, HPC, and accelerated computing; Mellanox networking and interconnect solutions; automotive AI Cockpit, autonomous driving development agreements, and autonomous vehicle solutions; cryptocurrency mining processors; Jetson for robotics and other embedded platforms; and NVIDIA AI Enterprise and other software. The company's products are used in gaming, professional visualization, datacenter, and automotive markets. NVIDIA Corporation sells its products to original equipment manufacturers, original device manufacturers, system builders, add-in board manufacturers, retailers/distributors, independent software vendors, Internet and cloud service providers, automotive manufacturers and tier-1 automotive suppliers, mapping companies, start-ups, and other ecosystem participants. It has a strategic collaboration with Kroger Co. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.",Santa Clara,408 486 2000,CA,United States,[],https://www.nvidia.com,1.0,2788 San Tomas Expressway,Semiconductors,0.35914,0.26031,0.60451,7552999936.0,0.03,0.31478,10680000512.0,110.0,buy,17475000000.0,6692250112.0,205.0,131.28,-0.723,3.62,0.14248,41.0,202.09,49.629,0.34405997,320.0,17036999680.0,11836999680.0,29738000384.0,6.842,USD,11.888,2.952,2.1,NMS,NVIDIA Corporation,NVIDIA Corporation,America/New_York,EDT,False,-14400000,EQUITY,NVDA,finmb_32307,us_market,,10.82,,30.128,-0.41224653,,6.26,,2492000000.0,,,,9.583,29418906.0,0.0117999995,,1643500800.0,0.65788,7741000192.0,3.729,0.04,-0.12230456,13.699259,0.040549997,1706572800.0,,1659225600.0,0.56,1659052800.0,2389478700.0,1.689972,321761902592.0,2.0,,1626739200,4:1,,1662508800,,-0.724,11.001067,1661904000.0,,,20.971245,,0.0123000005,33395681.0,,,,131.31,132.54,216.352,0.0012184905,0.0523,,132.8999,,63828000.0,131.31,166.2786,0.16,132.54,,63828000.0,,,0.16,1662508800,,,129.14,USD,35.205147,58850654.0,,,,327149748224.0,,,54139754.0,129.14,132.1,800.0,58850654.0,346.47,,0.21,129.14,132.0,False,0.0011999999,900.0,132.8999,,131.28,132.54,https://logo.clearbit.com/nvidia.com,-4.273006151693104,-31.00094497545013,-40.92922251204493,-60.63481799959882,NVDA,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
8,518054,Communication Services,110715.0,"Tencent Holdings Limited, an investment holding company, provides value-added services (VAS) and Online advertising services in Mainland China and internationally. The company operates through VAS, Online Advertising, FinTech and Business Services, and Others segments. It offers online games and social network services; FinTech and cloud services, and online advertising services. The company is also involved in the production, investment, and distribution of films and television programs for third parties, as well as copyrights licensing, merchandise sales, and other activities. n addition, it develops software; develops and operates online games; and provides information technology, information system integration, asset management, online literature, and online music entertainment services. Tencent Holdings Limited company was founded in 1998 and is headquartered in Shenzhen, the People's Republic of China.",Shenzhen,86 75 5860 13388,,China,[],https://www.tencent.com,1.0,Tencent Binhai Towers,Internet Content & Information,0.27813,0.31741,0.42349997,161753006080.0,-0.031,0.18364,154657996800.0,292.9,buy,245931000000.0,101834874880.0,434.86,299.6,-0.563,1.377,0.04287,49.0,438.22,43.631,0.20653999,574.81,292185014272.0,350741987328.0,556061032448.0,30.63,CNY,58.303,1.204,1.8,HKG,TENCENT,Tencent Holdings Limited,Asia/Hong_Kong,HKT,False,28800000,EQUITY,0700.HK,finmb_11042136,hk_market,,5.455,,19.614,-0.3277459,,2.2,,9602830336.0,,,,77.207,,,,1640908800.0,0.22126,176499998720.0,20.6,1.6,-0.12230456,3.8804772,0.37502998,1703980800.0,,1656547200.0,,,5990051755.0,0.338126,3033495240704.0,3.0,,1400112000,5:1,,1653004800,,-0.563,5.1726623,,,,136.18182,,,,0,,,304.8,300.4,385.71567,0.0042749345,0.0747,,304.2,,19936607.0,304.8,319.4,1.303,300.4,,19936607.0,,,1.6,1653004800,,,299.0,HKD,14.54369,17988979.0,,,,2876315795456.0,,,21261299.0,299.0,299.8,0.0,17988979.0,515.0,,0.27,288.0,299.6,False,0.0052,0.0,304.2,,299.6,,https://logo.clearbit.com/tencent.com,-3.8510910670565,-0.2663075263724557,-36.33479931209654,-40.92069256429941,0700.HK,,No. 33 Haitian 2nd Road Nanshan District,,,,,CNY-USD,HKD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,0.14442309737205505,0.1274336725473404
9,95110-2704,Technology,25988.0,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1.0,345 Park Avenue,Software—Infrastructure,0.39909,0.29288,0.87869,7279000064.0,0.144,0.36249,6662000128.0,362.0,buy,13920000000.0,5786500096.0,450.0,371.52,0.073,1.071,0.14571,28.0,459.46,33.307,0.35126,540.0,5298999808.0,4657999872.0,16693000192.0,11.323,USD,35.195,0.933,1.9,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,EQUITY,ADBE,finmb_24321,us_market,,10.29,,25.783,-0.4427452,,15.82,,468000000.0,,,,29.692,4973784,0.0106,,1638489600.0,0.84232,4888999936.0,10.16,0.0065,-0.12230456,12.512461,0.0042,1701561600.0,,1654214400.0,2.21,1659052800,466539840.0,1.133839,171765514240.0,2.0,,1116892800,2:1,,1111622400,,0.056,10.415824,1661904000,1.91,,23.484198,,0.0107,5334071,0,,,368.39,369.57,453.80606,0.0,0.0,,374.23,,2730660.0,368.39,400.6608,0.0,369.57,,2730660.0,,,,1111622400,,,365.61,USD,36.56693,3004368.0,,,,173871349760.0,,,2633775.0,365.61,373.5,1000.0,3004368.0,699.54,,,338.0,372.1,False,,1000.0,374.23,,371.52,370.799,https://logo.clearbit.com/adobe.com,-2.1594891448094122,-17.626713213721914,-42.400895584756924,-46.02902630141155,ADBE,408 537 6000,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
