,portfolio,sub_type,market,asset_id,quantity,ticker,market_val_usd,company,risk_exposure_usd,desc
0,ms_terry,Shares,中国,0700.HK,575.0,0700.HK,33931.52466008598,腾讯,33931.52466008598,TENCENT HOLDINGS LTD - 700 HKG
1,Skydog,Shares,中国,0700.HK,63584.0,0700.HK,3752177.5025859256,腾讯,3752177.5025859256,TENCENT HOLDINGS LTD - 700 HKG
2,Skydog,Shares,中国,1024.HK,2000.0,1024.HK,19375.520840628724,快手,19375.520840628724,Kuaishou Technology (1024.HK)
3,Skydog,Shares,中国,1177.HK,305000.0,1177.HK,213149.94764538007,中国生物制药,213149.94764538007,SINO BIOPHARMACEUTICAL - 1177 HKG
4,Skydog,Shares,中国,1358.HK,100000.0,1358.HK,13335.896837311622,PW Medtech,13335.896837311622,PW Medtech Group Limited (1358.HK)
5,Skydog,Shares,中国,1565.HK,1091600.0,1565.HK,64388.790975009695,成实外,64388.790975009695,VIRSCEND EDUCATION CO LTD - 1565 HKG
6,Skydog,Shares,中国,1801.HK,17500.0,1801.HK,110854.64995038166,信达生物,110854.64995038166,INNOVENT BIOLOGICS INC - 1801 HKG
7,Skydog,Shares,中国,1810.HK,417000.0,1810.HK,996714.6751611574,小米,996714.6751611574,XIAOMI CORP-CLASS B - 1810 HKG
8,Skydog,Shares,中国,1877.HK,19600.0,1877.HK,116868.62330138683,君实生物,116868.62330138683,SHANGHAI JUNSHI BIOSCIENCE-H - 1877 HKG
9,Skydog,Shares,中国,1918.HK,25000.0,1918.HK,35840.22504320217,融创中国,35840.22504320217,SUNAC CHINA HOLDINGS LTD
10,Skydog,Shares,中国,2202.HK,15000.0,2202.HK,35237.54350256638,China Vanke,35237.54350256638,"China Vanke Co., Ltd."
11,Skydog,Shares,中国,2269.HK,15400.0,2269.HK,172098.47571348006,药明生物,172098.47571348006,WUXI BIOLOGICS (CAYMAN) INC - 2269 HK
12,Skydog,Shares,中国,2822.HK,4000.0,2822.HK,9273.577794043034,CHINA A50,9273.577794043034,CSOP FTSE CHINA A50 ETF-HKD
13,Skydog,Shares,中国,3690.HK,15252.0,3690.HK,442001.90347373486,美团,442001.90347373486,MEITUAN DIANPING-CLASS B - 3690 HKG
14,Skydog,Shares,中国,3759.HK,7400.0,3759.HK,113393.59620958567,康龙化成,113393.59620958567,PHARMARON BEIJING CO LTD-H - 3759 HKG
15,ms_terry,Shares,中国,600519.SS,900.0,600519.SS,310055.4241191043,贵州茅台,310055.4241191043,贵州茅台
16,ms_terry,Shares,中国,600900.SS,32400.0,600900.SS,113802.91306049758,长江电力,113802.91306049758,长江电力
17,Skydog,Shares,中国,6160.HK,6700.0,6160.HK,138321.46582752466,百济神州,138321.46582752466,BEIGENE LTD - 6160 HKG
18,Skydog,Shares,中国,9618.HK,8400.0,9618.HK,281346.41320683114,京东,281346.41320683114,JD.COM INC - CL A
19,ms_terry,Shares,中国,9888.HK,13023.0,9888.HK,232288.1704979758,百度,232288.1704979758,百度集团-SW
20,Skydog,Shares,中国,9926.HK,29000.0,9926.HK,126062.70434396208,康方生物,126062.70434396208,AKESO INC - 9926 HKG
21,ms_terry,Shares,中国,9988.HK,13476.0,9988.HK,195266.77324980497,阿里巴巴,195266.77324980497,ALIBABA GROUP HOLDING LTD - 9988 HKG
22,Skydog,Shares,中国,9988.HK,101916.0,9988.HK,1476759.3100717664,阿里巴巴,1476759.3100717664,ALIBABA GROUP HOLDING LTD - 9988 HKG
23,Skydog,Shares,全球,ARKK,391.0,ARKK,38736.36988067627,ARKK,38736.36988067627,ARK INNOVATION ETF
24,ms_terry,Bond,澳大利亚,AU3CB0253367,300000.0,AU3CB0253367,15189.720153808596,VIRGIN AUSTRALIA HOLDINGS LTD,,VIRGIN AUSTRALIA HOLDINGS LTD 8.25% ECLEAR DUE 30MAY2023DTD 30MAY2018 AUD MTN MTN
25,ms_terry,Shares,中国,BABA,1572.0,BABA,186533.52575683594,阿里巴巴,186533.52575683594,ALIBABA GROUP HOLDING-SP ADR - BABA US
