,id,trade_date,payment_date,account,trade_type,asset_id,quantity,price,commission,other_charges,trade_comments
0,1,2021-03-15,2021-03-15,AJ,Transfer,9926.HK,34000.0,44.0,0.0,0.0,Subscription in-kind Feb 2021
1,2,2021-03-15,2021-03-15,AJ,Transfer,9988.HK,23585.0,226.0,0.0,0.0,Subscription in-kind Jan 2021 17285 + Subscription in-kind Feb 2021 6300
2,3,2021-03-15,2021-03-15,AJ,Transfer,6160.HK,6700.0,189.1,0.0,0.0,Subscription in-kind Jan 2021
3,4,2021-03-15,2021-03-15,AJ,Transfer,1801.HK,17500.0,78.6,0.0,0.0,Subscription in-kind Feb 2021
4,5,2021-03-15,2021-03-15,AJ,Transfer,1797.HK,74500.0,18.74,0.0,0.0,Subscription in-kind Jan 2021
5,6,2021-03-15,2021-03-15,AJ,Transfer,3690.HK,13352.0,333.0,0.0,0.0,Subscription in-kind Jan 2021
6,7,2021-03-15,2021-03-15,AJ,Transfer,3759.HK,11700.0,126.1,0.0,0.0,Subscription in-kind Feb 2021
7,8,2021-03-15,2021-03-15,AJ,Transfer,1877.HK,24400.0,75.3,0.0,0.0,Subscription in-kind Jan 2021
8,9,2021-03-15,2021-03-15,AJ,Transfer,1177.HK,305000.0,8.37,0.0,0.0,Subscription in-kind Feb 2021
9,10,2021-03-15,2021-03-15,AJ,Transfer,0410.HK,108000.0,2.65,0.0,0.0,Subscription in-kind Feb 2021
10,11,2021-03-15,2021-03-15,AJ,Transfer,0700.HK,18684.0,650.5,0.0,0.0,Subscription in-kind Jan 2021
11,12,2021-03-15,2021-03-15,AJ,Transfer,1565.HK,791600.0,1.76,0.0,0.0,Subscription in-kind Jan 2021 30600 + Subscription in-kind Feb 2021 761000
12,13,2021-03-15,2021-03-15,AJ,Transfer,1873.HK,177000.0,6.54,0.0,0.0,Subscription in-kind Feb 2021 85000 + Subscription in-kind Jan 2021 92000
13,14,2021-03-15,2021-03-15,AJ,Transfer,2269.HK,14400.0,91.2,0.0,0.0,Subscription in-kind Feb 2021
14,15,2021-03-15,2021-03-15,AJ,Transfer,1810.HK,118800.0,22.75,0.0,0.0,Subscription in-kind Jan 2021
15,16,2021-03-15,2021-03-15,IB,Transfer,BABA,1368.0,231.87,0.0,0.0,Subscription in-kind
16,17,2021-03-15,2021-03-15,IB,Transfer,GOOGL,80.0,2050.0,0.0,0.0,Subscription in-kind
17,18,2021-03-15,2021-03-15,IB,Transfer,GOOG,344.0,2061.92,0.0,0.0,Subscription in-kind
18,19,2021-03-15,2021-03-15,IB,Transfer,AMZN,114.0,3089.49,0.0,0.0,Subscription in-kind
19,20,2021-03-15,2021-03-15,IB,Trade,AMZN,32.0,3049.76,0.0,1.0,
20,21,2021-03-15,2021-03-15,IB,Transfer,AAPL,2565.0,121.03,0.0,0.0,Subscription in-kind
21,22,2021-03-15,2021-03-15,IB,Trade,AAPL,2040.0,122.919167,0.0,9.57,
22,23,2021-03-15,2021-03-15,IB,Transfer,BGNE,610.0,321.7,0.0,0.0,Subscription in-kind
23,24,2021-03-15,2021-03-15,IB,Transfer,FB,5000.0,268.4,0.0,0.0,Subscription in-kind
24,25,2021-03-15,2021-03-15,IB,Transfer,IH,1290.0,15.92,0.0,0.0,Subscription in-kind
25,26,2021-03-15,2021-03-15,IB,Trade,ISRG,156.0,733.99,0.0,0.0,
26,27,2021-03-15,2021-03-15,IB,Transfer,JD,2590.0,84.02,0.0,0.0,Subscription in-kind
27,28,2021-03-15,2021-03-15,IB,Transfer,JMIA,6500.0,47.92,0.0,0.0,Subscription in-kind
28,29,2021-03-15,2021-03-15,IB,Transfer,MSFT,2550.0,235.75,0.0,0.0,Subscription in-kind
29,30,2021-03-15,2021-03-15,IB,Trade,MSFT,429.0,233.086247,0.0,2.14,
30,31,2021-03-15,2021-03-15,IB,Transfer,EDU,3060.0,17.64,0.0,0.0,Subscription in-kind
31,32,2021-03-15,2021-03-15,IB,Trade,NVDA,288.0,521.97753,0.0,1.42,
32,33,2021-03-15,2021-03-15,IB,Transfer,PDD,2115.0,161.06,0.0,0.0,Subscription in-kind
33,34,2021-03-15,2021-03-15,IB,Transfer,TAL,1375.0,70.2,0.0,0.0,Subscription in-kind
34,35,2021-03-15,2021-03-15,IB,Transfer,TSLA,70.0,693.73,0.0,0.0,Subscription in-kind
35,36,2021-03-15,2021-03-15,IB,Transfer,TCOM,2900.0,43.38,0.0,0.0,Subscription in-kind
36,37,2021-03-15,2021-03-15,IB,Transfer,UBER,4403.0,60.35,0.0,0.0,Subscription in-kind
37,38,2021-03-15,2021-03-15,IB,Transfer,DIS,3329.0,197.16,0.0,0.0,Subscription in-kind
38,39,2021-03-15,2021-03-15,IB,Transfer,DAO,5070.0,33.05,0.0,0.0,Subscription in-kind
39,40,2021-03-15,2021-03-15,IB,Trade,ARKQ,2000.0,86.05,0.0,0.0,
40,41,2021-03-15,2021-03-15,IB,Transfer,ARKG,1500.0,91.8,0.0,0.0,Subscription in-kind
41,42,2021-03-22,2021-03-22,IB,Trade,AMZN,48.0,3106.22,0.0,1.0,
42,43,2021-03-22,2021-03-22,IB,Trade,AAPL May21'21 115 Put,-21.0,3.8,0.0,15.63,
43,44,2021-03-22,2021-03-22,IB,Trade,GOOG May21'21 1930 Put,-1.0,57.3,0.0,1.21,
44,45,2021-03-24,2021-03-24,AJ,Trade,1873.HK,56000.0,6.87,461.66,433.87,
45,46,2021-03-24,2021-03-24,AJ,Trade,2269.HK,4500.0,87.3,471.42,442.89,
46,47,2021-03-29,2021-03-29,AJ,Trade,1797.HK,46500.0,17.0,948.6,891.4,
47,48,2021-03-29,2021-03-29,IB,Trade,BIDU,495.0,199.88,0.0,2.48,
48,49,2021-03-29,2021-03-29,IB,Trade,GOTU,2990.0,33.9966555,0.0,14.95,
49,50,2021-03-29,2021-03-29,IB,Trade,TAL,925.0,54.8110811,0.0,4.63,
50,51,2021-03-29,2021-03-29,IB,Trade,DAO May21'21 25 Call,30.0,2.8236667,0.0,22.01,
51,52,2021-04-01,2021-04-01,IB,Trade,BIDU,311.0,225.6607074,0.0,1.5599986,
52,53,2021-04-05,2021-04-05,IB,Trade,ARKQ,1157.0,86.477554,0.0,5.780022,
53,54,2021-04-05,2021-04-05,IB,Trade,ARKG,1099.0,90.9774977,0.0,5.5000277,
54,55,2021-04-05,2021-04-05,IB,Trade,ARKF,1890.0,52.7851746,0.0,9.450006,
55,56,2021-04-07,2021-04-07,IB,Trade,700 Jul29'21 730 Call TENCENT HOLDINGS LTD,-70.0,19.0,0.0,476.0,
56,57,2021-04-09,2021-04-09,IB,Trade,GOTU,3530.0,28.1263626,0.0,17.650022,
57,58,2021-04-12,2021-04-12,IB,Trade,TSLA May21'21 620 Put,-5.0,25.15,0.0,3.95,
58,59,2021-04-12,2021-04-12,IB,Trade,BABA May21'21 200 Put,-5.0,1.35,0.0,3.69,
59,60,2021-04-12,2021-04-12,IB,Trade,AAPL May21'21 150 Call,-46.0,0.73,0.0,50.9,
60,61,2021-04-12,2021-04-12,IB,Trade,GOOG May21'21 2500 Call,-3.0,12.9,0.0,2.29,
61,62,2021-04-12,2021-04-12,IB,Trade,FB May21'21 260 Put,-50.0,1.5964,0.0,36.91,
62,63,2021-04-12,2021-04-12,IB,Trade,IH,1655.0,12.0518677,0.0,8.2789565,
63,64,2021-04-01,,IB,Transfer,AMZN,64.0,3094.08,,,
64,65,2021-04-01,,IB,Transfer,ARKF,2000.0,51.1,,,
65,66,2021-04-01,,IB,Transfer,ASML,736.0,617.36,,,
66,67,2021-04-01,,IB,Transfer,BGNE,294.0,348.08,,,
67,68,2021-04-01,,IB,Transfer,BIDU,1090.0,217.55,,,
68,69,2021-04-01,,IB,Transfer,CNK,10000.0,20.41,,,
69,70,2021-04-01,,IB,Transfer,DAO,21431.0,23.82,,,
70,71,2021-04-01,,IB,Transfer,DIS,690.0,184.52,,,
71,72,2021-04-01,,IB,Transfer,EDU,7820.0,14.0,,,
72,73,2021-04-01,,IB,Transfer,IBUY,2080.0,124.18,,,
73,74,2021-04-01,,IB,Transfer,IH,4705.0,12.51,,,
74,75,2021-04-01,,IB,Transfer,ISRG,288.0,738.94,,,
75,76,2021-04-01,,IB,Transfer,JD,700.0,84.33,,,
76,77,2021-04-01,,IB,Transfer,JMIA,4273.0,35.46,,,
77,78,2021-04-01,,IB,Transfer,LAIX,19324.0,2.52,,,
78,79,2021-04-01,,IB,Transfer,NVDA,185.0,533.93,,,
79,80,2021-04-01,,IB,Transfer,SPCE,11408.0,30.63,,,
80,81,2021-04-01,2021-04-13,IB,Transfer,TAL,7835.0,53.85,0.0,0.0,
81,82,2021-04-01,,IB,Transfer,WISH,2000.0,15.8,,,
82,83,2021-04-16,2021-04-16,IB,Trade,SPCE Jul16'21 20 Put,-50.0,2.38120005,0.0,39.24,
83,84,2021-04-21,2021-04-21,LIABILITY,Subscription,LIABILITY-SHAREHOLDER-HKD,-3000000.0,1.0,0.0,0.0,Terry转入DBS 300万港币，5月1号申购
