,Company,Ticker,GICS Sector,GICS Sub-Industry
0,Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
1,Adobe,ADBE,Information Technology,Application Software
2,Advanced Micro Devices,AMD,Information Technology,Semiconductors
3,Airbnb,ABNB,Consumer Discretionary,Internet & Direct Marketing Retail
4,Align Technology,ALGN,Health Care,Health Care Supplies
5,Alphabet (Class A),GOOGL,Communication Services,Interactive Media & Services
6,Alphabet (Class C),GOOG,Communication Services,Interactive Media & Services
7,Amazon.com,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
8,American Electric Power,AEP,Utilities,Electric Utilities
9,Amgen,AMGN,Health Care,Biotechnology
10,Analog Devices,ADI,Information Technology,Semiconductors
11,Ansys,ANSS,Information Technology,Application Software
12,Apple,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
13,Applied Materials,AMAT,Information Technology,Semiconductor Equipment
14,ASML Holding,ASML,Information Technology,Semiconductor Equipment
15,Atlassian,TEAM,Information Technology,Application Software
16,Autodesk,ADSK,Information Technology,Application Software
17,Automatic Data Processing,ADP,Information Technology,Data Processing & Outsourced Services
18,Baidu,BIDU,Communication Services,Interactive Media & Services
19,Biogen,BIIB,Health Care,Biotechnology
20,Booking Holdings,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
21,Broadcom,AVGO,Information Technology,Semiconductors
22,Cadence Design Systems,CDNS,Information Technology,Application Software
23,Charter Communications,CHTR,Communication Services,Cable & Satellite
24,Cintas,CTAS,Industrials,Diversified Support Services
25,Cisco Systems,CSCO,Information Technology,Communications Equipment
26,Cognizant,CTSH,Information Technology,IT Consulting & Other Services
27,Comcast,CMCSA,Communication Services,Cable & Satellite
28,Copart,CPRT,Industrials,Diversified Support Services
29,Costco,COST,Consumer Staples,Hypermarkets & Super Centers
30,CrowdStrike,CRWD,Information Technology,Application Software
31,CSX Corporation,CSX,Industrials,Railroads
32,Datadog,DDOG,Information Technology,Application Software
33,DexCom,DXCM,Health Care,Health Care Equipment
34,DocuSign,DOCU,Information Technology,Application Software
35,Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores
36,eBay,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
37,Electronic Arts,EA,Communication Services,Interactive Home Entertainment
38,Exelon,EXC,Utilities,Multi-Utilities
39,Fastenal,FAST,Industrials,Building Products
40,Fiserv,FISV,Information Technology,Data Processing & Outsourced Services
41,Fortinet,FTNT,Information Technology,Systems Software
42,Gilead Sciences,GILD,Health Care,Biotechnology
43,Honeywell,HON,Industrials,Industrial Conglomerates
44,Idexx Laboratories,IDXX,Health Care,Health Care Equipment
45,Illumina,ILMN,Health Care,Life Sciences Tools & Services
46,Intel,INTC,Information Technology,Semiconductors
47,Intuit,INTU,Information Technology,Application Software
48,Intuitive Surgical,ISRG,Health Care,Health Care Equipment
49,JD.com,JD,Consumer Discretionary,Internet & Direct Marketing Retail
50,Keurig Dr Pepper,KDP,Consumer Staples,Soft Drinks
51,KLA Corporation,KLAC,Information Technology,Semiconductor Equipment
52,Kraft Heinz,KHC,Consumer Staples,Packaged Foods & Meats
53,Lam Research,LRCX,Information Technology,Semiconductor Equipment
54,Lucid Group,LCID,Consumer Discretionary,Automobile Manufacturers
55,Lululemon Athletica,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
56,Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
